"carnavalsnaam","tgn_uri"
"Kleuvendurp","http://vocab.getty.edu/tgn/7256597"
"Klompengat","http://vocab.getty.edu/tgn/1047654"
"Klotland","http://vocab.getty.edu/tgn/1047625"
"Kluivenduikersrijk","http://vocab.getty.edu/tgn/7262256"
"Kneutergat","http://vocab.getty.edu/tgn/7262970"
"Knllekesland","http://vocab.getty.edu/tgn/7257503"
"Knoepersriek","http://vocab.getty.edu/tgn/7269217"
"Knoerissenrijk","http://vocab.getty.edu/tgn/7006850"
"Knollenrijk","http://vocab.getty.edu/tgn/1047650"
"Knollevretersgat","http://vocab.getty.edu/tgn/7256192"
"Knopspeldjesrijk","http://vocab.getty.edu/tgn/7257475"
"Knorrepottenrijk","http://vocab.getty.edu/tgn/7262362"
"Knotwilgendam","http://vocab.getty.edu/tgn/1048193"
"Knusterooiersland","http://vocab.getty.edu/tgn/7262407"
"Koffiegat","http://vocab.getty.edu/tgn/7273249"
"Kraaienland","http://vocab.getty.edu/tgn/1047837"
"Kraaierijk","http://vocab.getty.edu/tgn/1048079"
"Krabbegat","http://vocab.getty.edu/tgn/7006822"
"Krabberdonk","http://vocab.getty.edu/tgn/7261007"
"Krimpersgat","http://vocab.getty.edu/tgn/7265394"
"Kruikenstad","http://vocab.getty.edu/tgn/7006831"
"Krullendonk","http://vocab.getty.edu/tgn/1047836"
"Krulstarteland","http://vocab.getty.edu/tgn/7270144"
"Krutjesgat","http://vocab.getty.edu/tgn/7271031"
"Krutjesgat","http://vocab.getty.edu/tgn/1048126"
"Kuussegat","http://vocab.getty.edu/tgn/1048181"
"Kwastenlaand","http://vocab.getty.edu/tgn/7267594"
"Lampegat","http://vocab.getty.edu/tgn/7006842"
"Lappegat","http://vocab.getty.edu/tgn/1047781"
"Lappelekkursland","http://vocab.getty.edu/tgn/7264242"
"Leemkuul","http://vocab.getty.edu/tgn/7269378"
"Loerendonck","http://vocab.getty.edu/tgn/1047888"
"Maerkrattenland","http://vocab.getty.edu/tgn/7261418"
"Mangelpeejenlaand","http://vocab.getty.edu/tgn/7269912"
"Maoneblusserslaand","http://vocab.getty.edu/tgn/7273816"
"Maoskesdam","http://vocab.getty.edu/tgn/7266570"
"Mastepinnenlaand","http://vocab.getty.edu/tgn/7274740"
"Meekrapdurp","http://vocab.getty.edu/tgn/7271122"
"Meerpoel","http://vocab.getty.edu/tgn/1048124"
"Moerbienlaand","http://vocab.getty.edu/tgn/7260835"
"Moesland","http://vocab.getty.edu/tgn/7269502"
"Mosterdgat","http://vocab.getty.edu/tgn/1048259"
"Muggehol","http://vocab.getty.edu/tgn/7006829"
"Mulkgat","http://vocab.getty.edu/tgn/7269510"
"Mullukzuipertjesland","http://vocab.getty.edu/tgn/7262151"
"Muuzegat","http://vocab.getty.edu/tgn/7265484"
"Nachtgraversrijk","http://vocab.getty.edu/tgn/7267635"
"Nachtuilenrijk","http://vocab.getty.edu/tgn/7271163"
"Narregat","http://vocab.getty.edu/tgn/7262329"
"Narrendonk","http://vocab.getty.edu/tgn/1048057"
"Oeteldonk","http://vocab.getty.edu/tgn/7006837"
"Oetelhaozendam","http://vocab.getty.edu/tgn/7266798"
"Oggelvorsenpoel","http://vocab.getty.edu/tgn/7260432"
"Oiversland","http://vocab.getty.edu/tgn/7261800"
"Olliedonk","http://vocab.getty.edu/tgn/7271056"
"Ossekoppenrijk","http://vocab.getty.edu/tgn/7006848"
"Osserijk","http://vocab.getty.edu/tgn/7272083"
"Ostrecht","http://vocab.getty.edu/tgn/1048027"
"Paddenriek","http://vocab.getty.edu/tgn/7273739"
"Papgat","http://vocab.getty.edu/tgn/7267112"
"Papgat","http://vocab.getty.edu/tgn/7268234"
"Papgat","http://vocab.getty.edu/tgn/7006838"
"Paplaand","http://vocab.getty.edu/tgn/1048261"
"Paplippelland","http://vocab.getty.edu/tgn/7264574"
"Papslokkersgat","http://vocab.getty.edu/tgn/7270081"
"Peejenland","http://vocab.getty.edu/tgn/7266855"
"Peejenrijk","http://vocab.getty.edu/tgn/1047732"
"Peejloofdurp","http://vocab.getty.edu/tgn/1047724"
"Peelknijnenrijk","http://vocab.getty.edu/tgn/1048198"
"Peelleuterrijk","http://vocab.getty.edu/tgn/7265887"
