"id","plaatsnaam_in_bron","plaatsnaam","eerste_jaar_min","eerste_jaar_max","laatste_jaar_min","laatste_jaar_max","aantal","tgn_uri","gn_uri","land","lat","lon"
"2342","Nuwekuyck","Nieuwkuijk","1471","1472","1497","1498","2","http://vocab.getty.edu/tgn/7267594","http://www.geonames.org/2750180","Netherlands","51.69","5.181944"
"2343","Nuwelant","Nuland","1428","1429","1475","1476","11","http://vocab.getty.edu/tgn/7269296","http://www.geonames.org/2749772","Netherlands","51.725833","5.434722"
"2344","Nuwencuyck","Nieuwkuijk","1460","1461","1460","1461","1","http://vocab.getty.edu/tgn/7267594","http://www.geonames.org/2750180","Netherlands","51.69","5.181944"
"2345","Nuwenkuyck","Nieuwkuijk","1503","1504","1503","1504","1","http://vocab.getty.edu/tgn/7267594","http://www.geonames.org/2750180","Netherlands","51.69","5.181944"
"2346","Nuwenporten","Nieuwpoort","1485","1486","1485","1486","1","http://vocab.getty.edu/tgn/7267775","http://www.geonames.org/2750146","Netherlands","51.935833","4.868056"
"2347","Nuwerport","Nieuwpoort","1481","1482","1481","1482","1","http://vocab.getty.edu/tgn/7267775","http://www.geonames.org/2750146","Netherlands","51.935833","4.868056"
"2348","Nuylant","Nuland","1487","1488","1487","1488","1","http://vocab.getty.edu/tgn/7269296","http://www.geonames.org/2749772","Netherlands","51.725833","5.434722"
"2349","Nuynhem onder Cuyck","Nunhem","1499","1500","1499","1500","1","http://vocab.getty.edu/tgn/7269283","http://www.geonames.org/2749759","Netherlands","51.245","5.961111"
"2350","Nyemegen","Nijmegen","1478","1479","1509","1510","7","http://vocab.getty.edu/tgn/7031832","http://www.geonames.org/2750053","Netherlands","51.8425","5.852778"
"2351","Nyemeghen","Nijmegen","1515","1516","1515","1516","1","http://vocab.getty.edu/tgn/7031832","http://www.geonames.org/2750053","Netherlands","51.8425","5.852778"
"2352","Nyemmegen","Nijmegen","1499","1500","1499","1500","1","http://vocab.getty.edu/tgn/7031832","http://www.geonames.org/2750053","Netherlands","51.8425","5.852778"
"2353","Nyensteyn?","Nijenstein","1457","1458","1457","1458","1",,,,"0","0"
"2354","Nyerpoerten","Nieuwpoort","1458","1459","1458","1459","1","http://vocab.getty.edu/tgn/7267775","http://www.geonames.org/2750146","Netherlands","51.935833","4.868056"
"2355","Nyeukuyck","Nieuwkuijk","1505","1506","1505","1506","1","http://vocab.getty.edu/tgn/7267594","http://www.geonames.org/2750180","Netherlands","51.69","5.181944"
"2356","Nyeumegen","Nijmegen","1467","1468","1496","1497","5","http://vocab.getty.edu/tgn/7031832","http://www.geonames.org/2750053","Netherlands","51.8425","5.852778"
"2357","Nyeuwerkercken inde voechdyen van Gelre","Nieukerk","1526","1527","1526","1527","4",,"http://www.geonames.org/2862446","Germany","51.45652","6.37319"
"2358","Nyewael","Nieuwaal","1477","1478","1484","1485","2","http://vocab.getty.edu/tgn/7270308","http://www.geonames.org/2750379","Netherlands","51.81","5.177778"
"2359","Nyewecuyck","Nieuwkuijk","1509","1510","1509","1510","1","http://vocab.getty.edu/tgn/7267594","http://www.geonames.org/2750180","Netherlands","51.69","5.181944"
"2360","Nyewel","Nieuwaal","1469","1470","1471","1472","2","http://vocab.getty.edu/tgn/7270308","http://www.geonames.org/2750379","Netherlands","51.81","5.177778"
"2361","Nylant","Nuland","1482","1483","1482","1483","1","http://vocab.getty.edu/tgn/7269296","http://www.geonames.org/2749772","Netherlands","51.725833","5.434722"
"2362","Nymagen","Nijmegen","1489","1490","1489","1490","1","http://vocab.getty.edu/tgn/7031832","http://www.geonames.org/2750053","Netherlands","51.8425","5.852778"
"2363","Nymegen","Nijmegen","1449","1450","1522","1523","30","http://vocab.getty.edu/tgn/7031832","http://www.geonames.org/2750053","Netherlands","51.8425","5.852778"
"2364","Nymeghen","Nijmegen","1434","1435","1525","1526","21","http://vocab.getty.edu/tgn/7031832","http://www.geonames.org/2750053","Netherlands","51.8425","5.852778"
"2365","Nymmegen","Nijmegen","1473","1474","1536","1537","20","http://vocab.getty.edu/tgn/7031832","http://www.geonames.org/2750053","Netherlands","51.8425","5.852778"
"2366","Nymmeghen","Nijmegen","1465","1466","1531","1532","6","http://vocab.getty.edu/tgn/7031832","http://www.geonames.org/2750053","Netherlands","51.8425","5.852778"
"4034","Heerenbeeck","Heerenbeek","1546","1547","1546","1547","1",,,,"0","0"
"4033","Geysteren","Geistingen","1516","1517","1516","1517","1",,,,"0","0"
"2369","Nystelre","Nistelrode","1474","1475","1484","1485","4","http://vocab.getty.edu/tgn/1047988","http://www.geonames.org/2750031","Netherlands","51.704167","5.5625"
