"id","hgid","naam","gg_uri","gg_uri_amco","amco","cbscode","geonames","startjaar","eindjaar","provincie","departement","absorbed","absorbedBy","originated","originatedFrom"
"1402","Kessel_NB","Kessel [NB]","http://www.gemeentegeschiedenis.nl/gemeentenaam/Kessel_NB","http://www.gemeentegeschiedenis.nl/amco/10625",,,,"oudsher","1821","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Alem__Maren_en_Kessel",,
"1403","Klundert","Klundert","http://www.gemeentegeschiedenis.nl/gemeentenaam/Klundert","http://www.gemeentegeschiedenis.nl/amco/10656",,"0804",,"oudsher","1997","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/TN",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Zevenbergen",,
"1404","Laarbeek","Laarbeek","http://www.gemeentegeschiedenis.nl/gemeentenaam/Laarbeek","http://www.gemeentegeschiedenis.nl/amco/10173",,"1659","http://sws.geonames.org/6544266","1997","heden","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant",,,,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Lieshout"
"1405","Landerd","Landerd","http://www.gemeentegeschiedenis.nl/gemeentenaam/Landerd","http://www.gemeentegeschiedenis.nl/amco/10276",,"1685","http://sws.geonames.org/6544292","1994","heden","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant",,,,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Zeeland"
"1406","Leende","Leende","http://www.gemeentegeschiedenis.nl/gemeentenaam/Leende","http://www.gemeentegeschiedenis.nl/amco/11017",,"0805",,"oudsher","1997","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Heeze-Leende",,
"1407","Liempde","Liempde","http://www.gemeentegeschiedenis.nl/gemeentenaam/Liempde","http://www.gemeentegeschiedenis.nl/amco/10390",,"0806",,"oudsher","1996","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Boxtel",,
"1408","Lierop","Lierop","http://www.gemeentegeschiedenis.nl/gemeentenaam/Lierop","http://www.gemeentegeschiedenis.nl/amco/11279",,"1102",,"oudsher","1935","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Someren",,
"1409","Lieshout","Lieshout","http://www.gemeentegeschiedenis.nl/gemeentenaam/Lieshout","http://www.gemeentegeschiedenis.nl/amco/10637",,"0807",,"oudsher","1997","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Laarbeek",,
"1410","Linden","Linden","http://www.gemeentegeschiedenis.nl/gemeentenaam/Linden","http://www.gemeentegeschiedenis.nl/amco/11305",,"1103",,"oudsher","1942","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Cuijk_en_Sint_Agatha",,
"1411","Lith","Lith","http://www.gemeentegeschiedenis.nl/gemeentenaam/Lith","http://www.gemeentegeschiedenis.nl/amco/11219",,"0808",,"oudsher","2011","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/MR","http://www.gemeentegeschiedenis.nl/gemeentenaam/Alem__Maren_en_Kessel",,,
"1412","Lithoijen","Lithoijen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Lithoijen","http://www.gemeentegeschiedenis.nl/amco/10024",,"1104",,"oudsher","1939","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Lith",,
"1413","Loon_op_Zand","Loon op Zand","http://www.gemeentegeschiedenis.nl/gemeentenaam/Loon_op_Zand","http://www.gemeentegeschiedenis.nl/amco/11259",,"0809","http://sws.geonames.org/2751455","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/MR",,,,
"1414","Luyksgestel","Luyksgestel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Luyksgestel","http://www.gemeentegeschiedenis.nl/amco/10011",,"0810",,"oudsher","1997","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Bergeyk",,
"1415","Maarheeze","Maarheeze","http://www.gemeentegeschiedenis.nl/gemeentenaam/Maarheeze","http://www.gemeentegeschiedenis.nl/amco/11143",,"0811",,"oudsher","1997","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/MR","http://www.gemeentegeschiedenis.nl/gemeentenaam/Soerendonk__Sterksel_en_Gastel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Budel",,
"1416","Maasdonk","Maasdonk","http://www.gemeentegeschiedenis.nl/gemeentenaam/Maasdonk","http://www.gemeentegeschiedenis.nl/amco/10370",,"1671","http://sws.geonames.org/6544283","1993","heden","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant",,,,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Geffen"
"1417","Maashees_en_Overloon","Maashees en Overloon","http://www.gemeentegeschiedenis.nl/gemeentenaam/Maashees_en_Overloon","http://www.gemeentegeschiedenis.nl/amco/10532",,"1109",,"oudsher","1942","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Vierlingsbeek",,
