"id","hgid","naam","gg_uri","gg_uri_amco","amco","cbscode","geonames","startjaar","eindjaar","provincie","departement","absorbed","absorbedBy","originated","originatedFrom"
"1","Adorp","Adorp","http://www.gemeentegeschiedenis.nl/gemeentenaam/Adorp","http://www.gemeentegeschiedenis.nl/amco/10996",,"0001",,"oudsher","1990","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Winsum",,
"2","Aduard","Aduard","http://www.gemeentegeschiedenis.nl/gemeentenaam/Aduard","http://www.gemeentegeschiedenis.nl/amco/10999",,"0002",,"oudsher","1990","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Zuidhorn",,
"3","Appingedam","Appingedam","http://www.gemeentegeschiedenis.nl/gemeentenaam/Appingedam","http://www.gemeentegeschiedenis.nl/amco/10886",,"0003","http://sws.geonames.org/2759686","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,,,
"4","Baflo","Baflo","http://www.gemeentegeschiedenis.nl/gemeentenaam/Baflo","http://www.gemeentegeschiedenis.nl/amco/10539",,"0004",,"oudsher","1990","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Winsum",,
"5","Bedum","Bedum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Bedum","http://www.gemeentegeschiedenis.nl/amco/10425",,"0005","http://sws.geonames.org/2759355","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,,,
"6","Beerta","Beerta","http://www.gemeentegeschiedenis.nl/gemeentenaam/Beerta","http://www.gemeentegeschiedenis.nl/amco/11043",,"0006",,"oudsher","1991","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We","http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuweschans","http://www.gemeentegeschiedenis.nl/gemeentenaam/Reiderland",,
"7","Bellingwedde","Bellingwedde","http://www.gemeentegeschiedenis.nl/gemeentenaam/Bellingwedde","http://www.gemeentegeschiedenis.nl/amco/10340",,"0007","http://sws.geonames.org/2759248","1968","heden","http://www.gemeentegeschiedenis.nl/provincie/Groningen",,,,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Wedde"
"8","Bellingwolde","Bellingwolde","http://www.gemeentegeschiedenis.nl/gemeentenaam/Bellingwolde","http://www.gemeentegeschiedenis.nl/amco/10340",,"1019",,"oudsher","1968","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Bellingwedde",,
"9","Bierum","Bierum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Bierum","http://www.gemeentegeschiedenis.nl/amco/11294",,"0008",,"oudsher","1990","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Delfzijl",,
"10","Ten_Boer","Ten Boer","http://www.gemeentegeschiedenis.nl/gemeentenaam/Ten_Boer","http://www.gemeentegeschiedenis.nl/amco/10891",,"0009","http://sws.geonames.org/2746490","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,,,
"11","Bourtange","Bourtange","http://www.gemeentegeschiedenis.nl/gemeentenaam/Bourtange","http://www.gemeentegeschiedenis.nl/amco/10332",,,,"oudsher","1822","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Vlagtwedde",,
"12","Delfzijl","Delfzijl","http://www.gemeentegeschiedenis.nl/gemeentenaam/Delfzijl","http://www.gemeentegeschiedenis.nl/amco/10976",,"0010","http://sws.geonames.org/2757339","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We","http://www.gemeentegeschiedenis.nl/gemeentenaam/Bierum",,,
"13","Eemsmond","Eemsmond","http://www.gemeentegeschiedenis.nl/gemeentenaam/Eemsmond","http://www.gemeentegeschiedenis.nl/amco/10246",,"1651","http://sws.geonames.org/6544278","1992","heden","http://www.gemeentegeschiedenis.nl/provincie/Groningen",,,,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Hefshuizen"
"14","Eenrum","Eenrum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Eenrum","http://www.gemeentegeschiedenis.nl/amco/10904",,"0011",,"oudsher","1990","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Ulrum",,
"15","Ezinge","Ezinge","http://www.gemeentegeschiedenis.nl/gemeentenaam/Ezinge","http://www.gemeentegeschiedenis.nl/amco/10136",,"0012",,"oudsher","1990","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Winsum",,
"16","Finsterwolde","Finsterwolde","http://www.gemeentegeschiedenis.nl/gemeentenaam/Finsterwolde","http://www.gemeentegeschiedenis.nl/amco/10212",,"0013",,"oudsher","1990","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Beerta",,
"17","Grijpskerk","Grijpskerk","http://www.gemeentegeschiedenis.nl/gemeentenaam/Grijpskerk","http://www.gemeentegeschiedenis.nl/amco/10244",,"0016",,"oudsher","1990","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Zuidhorn",,
"18","Groningen","Groningen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Groningen","http://www.gemeentegeschiedenis.nl/amco/10426",,"0014","http://sws.geonames.org/2755250","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We","http://www.gemeentegeschiedenis.nl/gemeentenaam/Noorddijk",,,
"19","Grootegast","Grootegast","http://www.gemeentegeschiedenis.nl/gemeentenaam/Grootegast","http://www.gemeentegeschiedenis.nl/amco/11080",,"0015","http://sws.geonames.org/2755203","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oldekerk",,,
"20","Haren","Haren","http://www.gemeentegeschiedenis.nl/gemeentenaam/Haren","http://www.gemeentegeschiedenis.nl/amco/11058",,"0017","http://sws.geonames.org/2754840","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,,,
"21","Harkstede","Harkstede","http://www.gemeentegeschiedenis.nl/gemeentenaam/Harkstede","http://www.gemeentegeschiedenis.nl/amco/10249",,,,"oudsher","1821","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Slochteren",,
"22","Hefshuizen","Hefshuizen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Hefshuizen","http://www.gemeentegeschiedenis.nl/amco/10246",,"0019",,"1979","1992","http://www.gemeentegeschiedenis.nl/provincie/Groningen",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Warffum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Eemsmond",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Uithuizermeeden"
"23","Hoogezand","Hoogezand","http://www.gemeentegeschiedenis.nl/gemeentenaam/Hoogezand","http://www.gemeentegeschiedenis.nl/amco/10410",,"1083",,"oudsher","1949","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We","http://www.gemeentegeschiedenis.nl/gemeentenaam/Windeweer","http://www.gemeentegeschiedenis.nl/gemeentenaam/Hoogezand-Sappemeer",,
"24","Hoogezand-Sappemeer","Hoogezand-Sappemeer","http://www.gemeentegeschiedenis.nl/gemeentenaam/Hoogezand-Sappemeer","http://www.gemeentegeschiedenis.nl/amco/10410",,"0018","http://sws.geonames.org/2753705","1949","heden","http://www.gemeentegeschiedenis.nl/provincie/Groningen",,,,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Sappemeer"
"25","Hoogkerk","Hoogkerk","http://www.gemeentegeschiedenis.nl/gemeentenaam/Hoogkerk","http://www.gemeentegeschiedenis.nl/amco/10953",,"1084",,"oudsher","1969","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Groningen",,
"26","Kantens","Kantens","http://www.gemeentegeschiedenis.nl/gemeentenaam/Kantens","http://www.gemeentegeschiedenis.nl/amco/10372",,"0020",,"oudsher","1990","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Hefshuizen",,
"27","Kloosterburen","Kloosterburen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Kloosterburen","http://www.gemeentegeschiedenis.nl/amco/10628",,"0021",,"oudsher","1990","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Ulrum",,
"28","Leek","Leek","http://www.gemeentegeschiedenis.nl/gemeentenaam/Leek","http://www.gemeentegeschiedenis.nl/amco/10604",,"0022","http://sws.geonames.org/2751833","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,,,
"29","Leens","Leens","http://www.gemeentegeschiedenis.nl/gemeentenaam/Leens","http://www.gemeentegeschiedenis.nl/amco/11050",,"0023",,"oudsher","1990","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Ulrum",,
"30","Loppersum","Loppersum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Loppersum","http://www.gemeentegeschiedenis.nl/amco/10934",,"0024","http://sws.geonames.org/2751428","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We","http://www.gemeentegeschiedenis.nl/gemeentenaam/t_Zandt",,,
"31","De_Marne","De Marne","http://www.gemeentegeschiedenis.nl/gemeentenaam/De_Marne","http://www.gemeentegeschiedenis.nl/amco/10180",,"1663","http://sws.geonames.org/6544229","1992","heden","http://www.gemeentegeschiedenis.nl/provincie/Groningen",,,,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Ulrum"
"32","Marum","Marum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Marum","http://www.gemeentegeschiedenis.nl/amco/11431",,"0025","http://sws.geonames.org/2751110","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,,,
"33","Meeden","Meeden","http://www.gemeentegeschiedenis.nl/gemeentenaam/Meeden","http://www.gemeentegeschiedenis.nl/amco/10304",,"0026",,"oudsher","1990","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Oosterbroek",,
"34","Menterwolde","Menterwolde","http://www.gemeentegeschiedenis.nl/gemeentenaam/Menterwolde","http://www.gemeentegeschiedenis.nl/amco/11282",,"1987","http://sws.geonames.org/6544231","1991","heden","http://www.gemeentegeschiedenis.nl/provincie/Groningen",,,,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Oosterbroek"
"35","Middelstum","Middelstum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Middelstum","http://www.gemeentegeschiedenis.nl/amco/11199",,"0027",,"oudsher","1990","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Loppersum",,
"36","Midwolda","Midwolda","http://www.gemeentegeschiedenis.nl/gemeentenaam/Midwolda","http://www.gemeentegeschiedenis.nl/amco/10356",,"0028",,"oudsher","1990","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Scheemda",,
"37","Muntendam","Muntendam","http://www.gemeentegeschiedenis.nl/gemeentenaam/Muntendam","http://www.gemeentegeschiedenis.nl/amco/10550",,"0029",,"oudsher","1990","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Oosterbroek",,
"38","Nieuwe_Pekela","Nieuwe Pekela","http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuwe_Pekela","http://www.gemeentegeschiedenis.nl/amco/10950",,"0030",,"oudsher","1990","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Pekela",,
"39","Nieuweschans","Nieuweschans","http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuweschans","http://www.gemeentegeschiedenis.nl/amco/10008",,"0031",,"oudsher","1990","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Beerta",,
"40","Nieuwolda","Nieuwolda","http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuwolda","http://www.gemeentegeschiedenis.nl/amco/10126",,"0032",,"oudsher","1990","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Scheemda",,
"41","Noordbroek","Noordbroek","http://www.gemeentegeschiedenis.nl/gemeentenaam/Noordbroek","http://www.gemeentegeschiedenis.nl/amco/10814",,"1126",,"oudsher","1965","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Oosterbroek",,
"42","Noorddijk","Noorddijk","http://www.gemeentegeschiedenis.nl/gemeentenaam/Noorddijk","http://www.gemeentegeschiedenis.nl/amco/10979",,"1127",,"oudsher","1969","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Groningen",,
"43","Oldambt","Oldambt","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oldambt","http://www.gemeentegeschiedenis.nl/amco/10453",,"1895","http://sws.geonames.org/7535498","2010","heden","http://www.gemeentegeschiedenis.nl/provincie/Groningen",,,,,
"44","Oldehove","Oldehove","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oldehove","http://www.gemeentegeschiedenis.nl/amco/10298",,"0035",,"oudsher","1990","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Zuidhorn",,
"45","Oldekerk","Oldekerk","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oldekerk","http://www.gemeentegeschiedenis.nl/amco/11332",,"0036",,"oudsher","1990","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Grootegast",,
"46","Onstwedde","Onstwedde","http://www.gemeentegeschiedenis.nl/gemeentenaam/Onstwedde","http://www.gemeentegeschiedenis.nl/amco/10610",,"1250",,"oudsher","1969","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Stadskanaal",,
"47","Oosterbroek","Oosterbroek","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oosterbroek","http://www.gemeentegeschiedenis.nl/amco/11282",,"0033",,"1965","1991","http://www.gemeentegeschiedenis.nl/provincie/Groningen",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Muntendam","http://www.gemeentegeschiedenis.nl/gemeentenaam/Menterwolde",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Zuidbroek_Gr"
"48","Oude_Pekela","Oude Pekela","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oude_Pekela","http://www.gemeentegeschiedenis.nl/amco/10848",,"0038",,"oudsher","1990","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Pekela",,
"49","Pekela","Pekela","http://www.gemeentegeschiedenis.nl/gemeentenaam/Pekela","http://www.gemeentegeschiedenis.nl/amco/10848",,"0765","http://sws.geonames.org/6544234","1990","heden","http://www.gemeentegeschiedenis.nl/provincie/Groningen",,,,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Oude_Pekela"
"50","Reiderland","Reiderland","http://www.gemeentegeschiedenis.nl/gemeentenaam/Reiderland","http://www.gemeentegeschiedenis.nl/amco/11043",,"1661",,"1991","2010","http://www.gemeentegeschiedenis.nl/provincie/Groningen",,,,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Beerta"
"51","Sappemeer","Sappemeer","http://www.gemeentegeschiedenis.nl/gemeentenaam/Sappemeer","http://www.gemeentegeschiedenis.nl/amco/10080",,"1168",,"oudsher","1949","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Hoogezand-Sappemeer",,
"52","Scheemda","Scheemda","http://www.gemeentegeschiedenis.nl/gemeentenaam/Scheemda","http://www.gemeentegeschiedenis.nl/amco/10711",,"0039",,"oudsher","2010","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We","http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuwolda",,,
"53","Siddeburen","Siddeburen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Siddeburen","http://www.gemeentegeschiedenis.nl/amco/11323",,,,"oudsher","1826","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Slochteren",,
"54","Slochteren","Slochteren","http://www.gemeentegeschiedenis.nl/gemeentenaam/Slochteren","http://www.gemeentegeschiedenis.nl/amco/10747",,"0040","http://sws.geonames.org/2747142","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We","http://www.gemeentegeschiedenis.nl/gemeentenaam/Siddeburen",,,
"55","Stadskanaal","Stadskanaal","http://www.gemeentegeschiedenis.nl/gemeentenaam/Stadskanaal","http://www.gemeentegeschiedenis.nl/amco/10610",,"0037","http://sws.geonames.org/2746859","1969","heden","http://www.gemeentegeschiedenis.nl/provincie/Groningen",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Wildervank",,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Onstwedde"
"56","Stedum","Stedum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Stedum","http://www.gemeentegeschiedenis.nl/amco/10771",,"0041",,"oudsher","1990","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Loppersum",,
"57","Termunten","Termunten","http://www.gemeentegeschiedenis.nl/gemeentenaam/Termunten","http://www.gemeentegeschiedenis.nl/amco/11023",,"0042",,"oudsher","1990","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Delfzijl",,
"58","Uithuizen","Uithuizen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Uithuizen","http://www.gemeentegeschiedenis.nl/amco/11137",,"0043",,"oudsher","1979","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Hefshuizen",,
"59","Uithuizermeeden","Uithuizermeeden","http://www.gemeentegeschiedenis.nl/gemeentenaam/Uithuizermeeden","http://www.gemeentegeschiedenis.nl/amco/10246",,"0044",,"oudsher","1979","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Hefshuizen",,
"60","Ulrum","Ulrum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Ulrum","http://www.gemeentegeschiedenis.nl/amco/10180",,"0045",,"oudsher","1992","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We","http://www.gemeentegeschiedenis.nl/gemeentenaam/Eenrum","http://www.gemeentegeschiedenis.nl/gemeentenaam/De_Marne",,
"61","Usquert","Usquert","http://www.gemeentegeschiedenis.nl/gemeentenaam/Usquert","http://www.gemeentegeschiedenis.nl/amco/11035",,"0046",,"oudsher","1990","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Hefshuizen",,
"62","Veendam","Veendam","http://www.gemeentegeschiedenis.nl/gemeentenaam/Veendam","http://www.gemeentegeschiedenis.nl/amco/11292",,"0047","http://sws.geonames.org/2745782","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We","http://www.gemeentegeschiedenis.nl/gemeentenaam/Wildervank",,,
"63","Vlagtwedde","Vlagtwedde","http://www.gemeentegeschiedenis.nl/gemeentenaam/Vlagtwedde","http://www.gemeentegeschiedenis.nl/amco/11249",,"0048","http://sws.geonames.org/2745460","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We","http://www.gemeentegeschiedenis.nl/gemeentenaam/Bourtange",,,
"64","Warffum","Warffum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Warffum","http://www.gemeentegeschiedenis.nl/amco/10498",,"0049",,"oudsher","1990","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Hefshuizen",,
"65","Wedde","Wedde","http://www.gemeentegeschiedenis.nl/gemeentenaam/Wedde","http://www.gemeentegeschiedenis.nl/amco/10247",,"1220",,"oudsher","1968","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Bellingwedde",,
"66","Westerlee","Westerlee","http://www.gemeentegeschiedenis.nl/gemeentenaam/Westerlee","http://www.gemeentegeschiedenis.nl/amco/11378",,,,"oudsher","1821","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Scheemda",,
"67","Wildervank","Wildervank","http://www.gemeentegeschiedenis.nl/gemeentenaam/Wildervank","http://www.gemeentegeschiedenis.nl/amco/10825",,"1225",,"oudsher","1969","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Veendam",,
"68","Windeweer","Windeweer","http://www.gemeentegeschiedenis.nl/gemeentenaam/Windeweer","http://www.gemeentegeschiedenis.nl/amco/10803",,,,"oudsher","1821","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Hoogezand",,
"69","Winschoten","Winschoten","http://www.gemeentegeschiedenis.nl/gemeentenaam/Winschoten","http://www.gemeentegeschiedenis.nl/amco/10453",,"0052",,"oudsher","2010","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,,,
"70","Winsum","Winsum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Winsum","http://www.gemeentegeschiedenis.nl/amco/11135",,"0053","http://sws.geonames.org/2744336","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We","http://www.gemeentegeschiedenis.nl/gemeentenaam/Adorp",,,
"71","t_Zandt","'t Zandt","http://www.gemeentegeschiedenis.nl/gemeentenaam/t_Zandt","http://www.gemeentegeschiedenis.nl/amco/10956",,"0054",,"oudsher","1990","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Loppersum",,
"72","Zuidbroek_Gr","Zuidbroek [Gr]","http://www.gemeentegeschiedenis.nl/gemeentenaam/Zuidbroek_Gr","http://www.gemeentegeschiedenis.nl/amco/11282",,"1240",,"oudsher","1965","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Oosterbroek",,
"73","Zuidhorn","Zuidhorn","http://www.gemeentegeschiedenis.nl/gemeentenaam/Zuidhorn","http://www.gemeentegeschiedenis.nl/amco/10021",,"0056","http://sws.geonames.org/2743693","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Groningen","http://www.gemeentegeschiedenis.nl/departement/We","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oldehove",,,
"74","Achtkarspelen","Achtkarspelen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Achtkarspelen","http://www.gemeentegeschiedenis.nl/amco/10199",,"0059","http://sws.geonames.org/2759982","1816","heden","http://www.gemeentegeschiedenis.nl/provincie/Friesland",,,,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Surhuizum"
"75","Aengwirden","Ængwirden","http://www.gemeentegeschiedenis.nl/gemeentenaam/Aengwirden","http://www.gemeentegeschiedenis.nl/amco/10157",,"1006",,"1816","1934","http://www.gemeentegeschiedenis.nl/provincie/Friesland",,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Heerenveen_2",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Tjalleberd"
"76","Akkrum","Akkrum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Akkrum","http://www.gemeentegeschiedenis.nl/amco/10140",,,,"oudsher","1816","http://www.gemeentegeschiedenis.nl/provincie/Friesland","http://www.gemeentegeschiedenis.nl/departement/Fr",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Utingeradeel",,
"77","Almenum","Almenum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Almenum","http://www.gemeentegeschiedenis.nl/amco/10001",,,,"oudsher","1816","http://www.gemeentegeschiedenis.nl/provincie/Friesland","http://www.gemeentegeschiedenis.nl/departement/Fr",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Franekeradeel",,
