id,pid,"pleiades_id","pleiades_place_id","nameTransliterated","geoContext","geonames","maxDate","minDate","reprLat","reprLong","featureTypes","creators"
87,109048,"http://pleiades.stoa.org/places/109048/hofstade","http://pleiades.stoa.org/places/109048","Hofstade","Hofstade, BGM","http://sws.geonames.org/2795618","2100.0","1700.0","50.961325","4.034756","settlement","jahlfeldt"
88,109068,"http://pleiades.stoa.org/places/109068/iuliacum","http://pleiades.stoa.org/places/109068","Iuliacum","Jülich GER","http://sws.geonames.org/2894553","640.0","-30.0","50.921007","6.361194","settlement","C. Haselgrove, J. Kunow"
89,109080,"http://pleiades.stoa.org/places/109080/kester","http://pleiades.stoa.org/places/109080","Kester","Kester, BGM","http://sws.geonames.org/2794502","2100.0","1700.0","50.764132","4.119402","settlement","jahlfeldt"
90,109093,"http://pleiades.stoa.org/places/109093/name.2012-10-19.3603683082","http://pleiades.stoa.org/places/109093","Kruishoutem","Kruishoutem, BGM","http://sws.geonames.org/2793907","2100.0","1700.0","50.904532","3.528018","settlement","renevoorburg"
91,109117,"http://pleiades.stoa.org/places/109117/litus-saxonicum","http://pleiades.stoa.org/places/109117","Litus Saxonicum","BGM/NET",NULL,"640.0","300.0","51.5","3.5","unknown","C. Haselgrove, J. Kunow"
92,109143,"http://pleiades.stoa.org/places/109143/marsaci","http://pleiades.stoa.org/places/109143","Marsaci","NET",NULL,"300.0","-30.0","51.5","3.5","unknown","C. Haselgrove, J. Kunow"
93,109152,"http://pleiades.stoa.org/places/109152/mederiacum","http://pleiades.stoa.org/places/109152","Mederiacum","Melick NET","http://sws.geonames.org/2750978","300.0","-30.0","51.157771","6.018727","settlement","C. Haselgrove, J. Kunow"
94,109180,"http://pleiades.stoa.org/places/109180/mosa","http://pleiades.stoa.org/places/109180","Mosa","Maas",NULL,"640.0","-330.0","51.6407459","5.981143","river","C. Haselgrove, J. Kunow"
95,109215,"http://pleiades.stoa.org/places/109215/neuss","http://pleiades.stoa.org/places/109215","Neuss","Neuss GER","http://sws.geonames.org/2864118","2100.0","1700.0","51.183889","6.721944","temple, fort","jahlfeldt"
96,109215,"http://pleiades.stoa.org/places/109215/novaesium","http://pleiades.stoa.org/places/109215","Novaesium","Neuss GER","http://sws.geonames.org/2864118","640.0","-30.0","51.183889","6.721944","temple, fort","C. Haselgrove, J. Kunow"
97,109231,"http://pleiades.stoa.org/places/109231/geistingen","http://pleiades.stoa.org/places/109231","Geistingen","Ophoven, NET","http://sws.geonames.org/2797753","2100.0","1700.0","51.12606","5.802235","settlement","jahlfeldt"
98,109235,"http://pleiades.stoa.org/places/109235/oudenburg","http://pleiades.stoa.org/places/109235","Oudenburg","Oudenburg, BGM","http://sws.geonames.org/2789519","2100.0","1700.0","51.184442","3.004621","fort","jahlfeldt"
99,109266,"http://pleiades.stoa.org/places/109266/quadriburgium","http://pleiades.stoa.org/places/109266","Quadriburgium","Bedburg-Hau-Qualburg GER",NULL,"640.0","-30.0","51.77684","6.1796085","fort","C. Haselgrove, J. Kunow"
100,109292,"http://pleiades.stoa.org/places/109292/rumst","http://pleiades.stoa.org/places/109292","Rumst","Rumst, BGM","http://sws.geonames.org/2787521","2100.0","1700.0","51.078086","4.423279","settlement","jahlfeldt"
101,109293,"http://pleiades.stoa.org/places/109293/rura","http://pleiades.stoa.org/places/109293","Rura","Rur/Roer GER",NULL,"640.0","300.0","51.1908792","5.9808792","river","C. Haselgrove, J. Kunow"
102,109300,"http://pleiades.stoa.org/places/109300/sablones","http://pleiades.stoa.org/places/109300","Sablones","Venlo NET","http://sws.geonames.org/2745641","300.0","-30.0","51.372731","6.172374","settlement","C. Haselgrove, J. Kunow"
103,109328,"http://pleiades.stoa.org/places/109328/scaldis","http://pleiades.stoa.org/places/109328","Scaldis","Escaut/Schelde BGM/NET",NULL,"640.0","-330.0","50.993122","3.833804","river","C. Haselgrove, J. Kunow"
104,109370,"http://pleiades.stoa.org/places/109370/tegula","http://pleiades.stoa.org/places/109370","Tegula","Tegelen NET","http://sws.geonames.org/2746504","300.0","-30.0","51.342697","6.13701","settlement","C. Haselgrove, J. Kunow"
105,109373,"http://pleiades.stoa.org/places/109373/teudurum","http://pleiades.stoa.org/places/109373","Teudurum","Tüddern GER","http://sws.geonames.org/2820838","640.0","-30.0","51.014249","5.902303","settlement","C. Haselgrove, J. Kunow"
106,109378,"http://pleiades.stoa.org/places/109378/tiberiacum","http://pleiades.stoa.org/places/109378","Tiberiacum","Bergheim-Zieverich/Thorr GER",NULL,"640.0","-30.0","50.9438515","6.622018","settlement","C. Haselgrove, J. Kunow"
107,109379,"http://pleiades.stoa.org/places/109379/tienen","http://pleiades.stoa.org/places/109379","Tienen","Tienen, BGM","http://sws.geonames.org/2785470","2100.0","1700.0","50.804521","4.938749","settlement","jahlfeldt"
108,109385,"http://pleiades.stoa.org/places/109385/toxiandria","http://pleiades.stoa.org/places/109385","Toxiandria","BGM",NULL,"640.0","300.0","51.5","5.5","region","C. Haselgrove, J. Kunow"
109,109386,"http://pleiades.stoa.org/places/109386/traiectus","http://pleiades.stoa.org/places/109386","Traiectus","Maastricht NET","http://sws.geonames.org/2751283","640.0","-30.0","50.84908","5.6905045","settlement","C. Haselgrove, J. Kunow"
110,109386,"http://pleiades.stoa.org/places/109386/maastricht","http://pleiades.stoa.org/places/109386","Maastricht","Maastricht NET","http://sws.geonames.org/2751283","2100.0","1700.0","50.84908","5.6905045","settlement","jahlfeldt"
111,109407,"http://pleiades.stoa.org/places/109407/vacalus","http://pleiades.stoa.org/places/109407","Vacalus","Waal NET",NULL,"-30.0","-330.0","51.8536512","4.6420489","river","C. Haselgrove, J. Kunow"
112,109407,"http://pleiades.stoa.org/places/109407/vahalis","http://pleiades.stoa.org/places/109407","Vahalis","Waal NET",NULL,"300.0","-30.0","51.8536512","4.6420489","river","C. Haselgrove, J. Kunow"
113,109407,"http://pleiades.stoa.org/places/109407/name.2013-09-13.1600638602","http://pleiades.stoa.org/places/109407","Waal","Waal NET",NULL,"2100.0","1700.0","51.8536512","4.6420489","river","jbecker"
114,109413,"http://pleiades.stoa.org/places/109413/velzeke-ruddershove","http://pleiades.stoa.org/places/109413","Velzeke-Ruddershove","Velzeke, BGM","http://sws.geonames.org/2784903","2100.0","1700.0","50.88389025","3.7790627","settlement","jahlfeldt"
115,109439,"http://pleiades.stoa.org/places/109439/viroviacum","http://pleiades.stoa.org/places/109439","Viroviacum","Wervik BGM","http://sws.geonames.org/2783820","300.0","-30.0","50.7792295","3.044069","settlement","C. Haselgrove, J. Kunow"
116,109439,"http://pleiades.stoa.org/places/109439/wervik","http://pleiades.stoa.org/places/109439","Wervik","Wervik BGM","http://sws.geonames.org/2783820","2100.0","1700.0","50.7792295","3.044069","settlement","jahlfeldt"
117,981524,"http://pleiades.stoa.org/places/981524/germania-inferior","http://pleiades.stoa.org/places/981524","Germania Inferior","province",NULL,"640.0","-330.0","51.7601495","5.585010125","province","R.S. Bagnall, J.F. Drinkwater, A.S. Esmonde-Cleary, W.V. Harris, R.C. Knapp, S. Mitchell, S.T. Parker, C.M. Wells, J.J. Wilkes"
