"id","geb_plaats_bron","geb_plaats_huidig","eerste_jaar","laatste_jaar","lat","lon","adm1","aantal","gn_uri","tgn_uri"
"1","'s arentskercke in suijtbeverlant","'s-Heer-Arendskerke","1655","1655","51.5","3.8166667","ZE","1",,"http://vocab.getty.edu/tgn/7270603"
"2","'s Gravenhaege","Den Haag","1649","1649","52.0833333","4.3","ZH","1",,"http://vocab.getty.edu/tgn/7006810"
"3","'s gravenhage","Den Haag","1551","1651","52.0833333","4.3","ZH","5",,"http://vocab.getty.edu/tgn/7006810"
"4","'s Gravenhaghe","Den Haag","1650","1650","52.0833333","4.3","ZH","1",,"http://vocab.getty.edu/tgn/7006810"
"5","'s gravenmoer","'s-Gravenmoer","1493","1649","51.6666667","4.8","NB","3",,"http://vocab.getty.edu/tgn/7270616"
"6","'s gravenpolder","'s-Gravenpolder","1548","1648","51.45","3.9","ZE","6",,"http://vocab.getty.edu/tgn/7270611"
"7","'s gravenpolder int lant van goes","'s-Gravenpolder","1550","1550","51.45","3.9","ZE","1",,"http://vocab.getty.edu/tgn/7270611"
"8","'s gravenrmour","'s-Gravenmoer","1542","1542","51.6666667","4.8","NB","1",,"http://vocab.getty.edu/tgn/7270616"
"9","'s gravesande out hollant","'s-Gravenzande","1539","1539","52","4.1666667","ZH","1","http://sws.geonames.org/2747364",
"10","'s grevenmoer","'s-Gravenmoer","1598","1598","51.6666667","4.8","NB","1",,"http://vocab.getty.edu/tgn/7270616"
"11","'s Hartogenbosch","'s-Hertogenbosch","1542","1542","51.7","5.3166667","NB","1","http://sws.geonames.org/2747351",
"12","'s Hartogenbosche","'s-Hertogenbosch","1592","1592","51.7","5.3166667","NB","1","http://sws.geonames.org/2747351",
"13","'s Hartogenbousch","'s-Hertogenbosch","1552","1554","51.7","5.3166667","NB","2","http://sws.geonames.org/2747351",
"14","'s heeraerentskerke","'s-Heer-Arendskerke","1596","1596","51.5","3.8166667","ZE","1",,"http://vocab.getty.edu/tgn/7270603"
"15","'s heerenberg","'s-Heerenberg","1645","1645","51.8833333","6.25","GE","1","http://sws.geonames.org/2747357",
"16","'s heerenberge","'s-Heerenberg","1539","1539","51.8833333","6.25","GE","1","http://sws.geonames.org/2747357",
"17","'s heerenbergen","'s-Heerenberg","1638","1638","51.8833333","6.25","GE","1","http://sws.geonames.org/2747357",
"18","'s heergendrykinderen","'s-Heer-Hendrikskinderen","1641","1641","51.5","3.8666667","ZE","1",,"http://vocab.getty.edu/tgn/7270725"
"19","'s Herenberge","'s-Heerenberg","1592","1592","51.8833333","6.25","GE","1","http://sws.geonames.org/2747357",
"20","'s herenberghe","'s-Heerenberg","1598","1598","51.8833333","6.25","GE","1","http://sws.geonames.org/2747357",
"21","'s hertogenbos","'s-Hertogenbosch","1497","1600","51.7","5.3166667","NB","25","http://sws.geonames.org/2747351",
"22","'s Hertogenbosch","'s-Hertogenbosch","1536","1652","51.7","5.3166667","NB","26","http://sws.geonames.org/2747351",
"23","'s Hertogenbossche","'s-Hertogenbosch","1592","1592","51.7","5.3166667","NB","1","http://sws.geonames.org/2747351",
"24","'s hertogenbusch","'s-Hertogenbosch","1541","1541","51.7","5.3166667","NB","1","http://sws.geonames.org/2747351",
"25","'s-Hartogenboussch","'s-Hertogenbosch","1549","1549","51.7","5.3166667","NB","1","http://sws.geonames.org/2747351",
"26","'t landt te Valckenburch","Land van Valkenburg","1589","1589","50.85","5.8166667","LI","1",,
"27","'t Landt van Drendt","Provincie Drenthe","1590","1590","52.8333333","6.5833333","DR","1",,
"28","'t Landt van Somersdijck","Sommelsdijk","1595","1595","51.7666667","4.15","ZH","1",,"http://vocab.getty.edu/tgn/1048125"
"29","'t Landt van Valckenburch","Land van Valkenburg","1589","1589","50.85","5.8166667","LI","1",,
"30","'t Lant van Maes","Land van Maas en Waal","1594","1594","51.8333333","5.5","GE","1",,
"31","'t Renesscheveen","Veenendaal","1643","1643","52.0333333","5.55","UT","1",,"http://vocab.getty.edu/tgn/1048177"
"32","'t Sertogenbosch","'s-Hertogenbosch","1591","1591","51.7","5.3166667","NB","1","http://sws.geonames.org/2747351",
"33","'t Sticht van Utrecht","Provincie Utrecht","1590","1592","52","5.25","UT","2",,
"34","aachmarijp","Akmarijp","1642","1642","53","5.7833333","FR","1",,"http://vocab.getty.edu/tgn/7258541"
"35","aalsmeer","Aalsmeer","1584","1594","52.2666667","4.7666667","NH","3",,"http://vocab.getty.edu/tgn/1047594"
"36","aalten","Aalten","1585","1594","51.9333333","6.5833333","GE","2",,"http://vocab.getty.edu/tgn/7006889"
"37","aardenburg","Aardenburg","1548","1548","51.2833333","3.45","ZE","1",,"http://vocab.getty.edu/tgn/1047597"
"38","aardswoud","Aardswoud","1541","1541","52.75","4.95","NH","1",,"http://vocab.getty.edu/tgn/7257928"
"39","abbekerk","Abbekerk","1586","1586","52.7333333","5.0166667","NH","2",,"http://vocab.getty.edu/tgn/7257921"
"40","Abcaude","Abcoude","1647","1647","52.2666667","4.9666667","UT","1",,"http://vocab.getty.edu/tgn/1047599"
"41","abcoude","Abcoude","1553","1592","52.2666667","4.9666667","UT","3",,"http://vocab.getty.edu/tgn/1047599"
"42","Abcouw","Abcoude","1589","1593","52.2666667","4.9666667","UT","2",,"http://vocab.getty.edu/tgn/1047599"
"43","accrum","Akkrum","1588","1652","53.05","5.8333333","FR","14",,"http://vocab.getty.edu/tgn/1047604"
"44","achlum","Achlum","1639","1648","53.15","5.4833333","FR","4",,"http://vocab.getty.edu/tgn/7258110"
"45","achsel","Axel","1503","1503","51.2666667","3.9166667","ZE","1",,"http://vocab.getty.edu/tgn/7006749"
"46","Ackersloot","Akersloot","1548","1591","52.5666667","4.7333333","NH","3",,"http://vocab.getty.edu/tgn/1047602"
"47","Ackmaer","Alkmaar","1587","1587","52.6333333","4.75","NH","1",,"http://vocab.getty.edu/tgn/7007057"
"48","ackrum","Akkrum","1594","1636","53.05","5.8333333","FR","2",,"http://vocab.getty.edu/tgn/1047604"
"49","acmarijp","Akmarijp","1647","1647","53","5.7833333","FR","1",,"http://vocab.getty.edu/tgn/7258541"
"50","acxel","Axel","1643","1643","51.2666667","3.9166667","ZE","1",,"http://vocab.getty.edu/tgn/7006749"
"51","adam","Amsterdam","1584","1598","52.35","4.9166667","NH","7",,"http://vocab.getty.edu/tgn/7006952"
"52","Aeckersloot","Akersloot","1543","1555","52.5666667","4.7333333","NH","17",,"http://vocab.getty.edu/tgn/1047602"
"53","aeckmaerijp","Akmarijp","1596","1596","53","5.7833333","FR","1",,"http://vocab.getty.edu/tgn/7258541"
"54","aeckmarijp","Akmarijp","1591","1597","53","5.7833333","FR","2",,"http://vocab.getty.edu/tgn/7258541"
"55","aelborch","Aalburg","1589","1589","51.75","5.1333333","NB","1",,"http://vocab.getty.edu/tgn/7257644"
"56","Aelburch","Aalburg","1645","1645","51.75","5.1333333","NB","1",,"http://vocab.getty.edu/tgn/7257644"
"57","Aeldenzeel","Oldenzaal","1542","1550","52.3166667","6.9166667","OV","5",,"http://vocab.getty.edu/tgn/7006937"
"58","Aeldezeel","Oldenzaal","1542","1542","52.3166667","6.9166667","OV","1",,"http://vocab.getty.edu/tgn/7006937"
"59","Aelsmaer","Aalsmeer","1649","1649","52.2666667","4.7666667","NH","1",,"http://vocab.getty.edu/tgn/1047594"
"60","Aelsmeer","Aalsmeer","1641","1649","52.2666667","4.7666667","NH","5",,"http://vocab.getty.edu/tgn/1047594"
"61","Aelsmoer","Aalsmeer","1641","1650","52.2666667","4.7666667","NH","5",,"http://vocab.getty.edu/tgn/1047594"
"62","aelsoen","Nederland","1551","1551","52.5","5.75","NL","1",,
"63","aelssem","Nederland","1584","1584","52.5","5.75","NL","1",,
"64","aelten","Aalten","1488","1488","51.9333333","6.5833333","GE","1",,"http://vocab.getty.edu/tgn/7006889"
"65","Aemsterdam","Amsterdam","1644","1644","52.35","4.9166667","NH","1",,"http://vocab.getty.edu/tgn/7006952"
"66","Aemsterdame","Amsterdam","1650","1650","52.35","4.9166667","NH","1",,"http://vocab.getty.edu/tgn/7006952"
"67","aemsterdamme","Amsterdam","1495","1499","52.35","4.9166667","NH","2",,"http://vocab.getty.edu/tgn/7006952"
"68","Aemsterveen","Amstelveen","1541","1541","52.3","4.8666667","NH","1",,"http://vocab.getty.edu/tgn/1047614"
"69","aenjum in dongerdeel","Anjum","1652","1652","53.2333333","5.65","FR","1",,"http://vocab.getty.edu/tgn/7256266"
"70","aepeldoren","Apeldoorn","1585","1585","52.2166667","5.9666667","GE","1",,"http://vocab.getty.edu/tgn/7006898"
"71","aerdenberge","Aardenburg","1582","1582","51.2833333","3.45","ZE","1",,"http://vocab.getty.edu/tgn/1047597"
"72","aerdt","Aerdt","1648","1648","51.9","6.0833333","GE","1",,"http://vocab.getty.edu/tgn/7258353"
"73","aerhem","Arnhem","1583","1583","51.9833333","5.9166667","GE","1",,"http://vocab.getty.edu/tgn/7006876"
"74","aerlanderveen","Aarlanderveen","1638","1638","52.1333333","4.7333333","ZH","1",,"http://vocab.getty.edu/tgn/7257807"
"75","Aernem","Arnhem","1591","1591","51.9833333","5.9166667","GE","1",,"http://vocab.getty.edu/tgn/7006876"
"76","Aernhem","Arnhem","1587","1649","51.9833333","5.9166667","GE","4",,"http://vocab.getty.edu/tgn/7006876"
"77","aernory","Arnhem","1548","1548","51.9833333","5.9166667","GE","1",,"http://vocab.getty.edu/tgn/7006876"
"78","Aernoy","Arnhem","1589","1589","51.9833333","5.9166667","GE","1",,"http://vocab.getty.edu/tgn/7006876"
"79","Aernum","Arnhem","1592","1594","51.9833333","5.9166667","GE","4",,"http://vocab.getty.edu/tgn/7006876"
"80","aerssen","Arcen","1587","1638","51.4833333","6.1833333","LI","2",,"http://vocab.getty.edu/tgn/1047620"
"81","Aert in de Betuwe","Aerdt","1641","1641","51.9","6.0833333","GE","1",,"http://vocab.getty.edu/tgn/7258353"
"82","Aerum","Arum","1590","1590","53.1333333","5.4833333","FR","2",,"http://vocab.getty.edu/tgn/7256893"
"83","aerumarijp","Akmarijp","1642","1642","53","5.7833333","FR","1",,"http://vocab.getty.edu/tgn/7258541"
"84","afoort","Amersfoort","1583","1597","52.15","5.3833333","UT","8",,"http://vocab.getty.edu/tgn/7006922"
"85","ailberch","Aalburg","1537","1537","51.75","5.1333333","NB","1",,"http://vocab.getty.edu/tgn/7257644"
"86","akersloot","Akersloot","1537","1588","52.5666667","4.7333333","NH","13",,"http://vocab.getty.edu/tgn/1047602"
"87","aksel","Aksel","1547","1547","51.2666667","3.9166667","ZE","1",,"http://vocab.getty.edu/tgn/7006749"
"88","alblas","Oud-Alblas","1539","1596","51.85","4.7","ZH","2",,"http://vocab.getty.edu/tgn/7268912"
"89","Alckmaer","Alkmaar","1586","1649","52.6333333","4.75","NH","25",,"http://vocab.getty.edu/tgn/7007057"
"90","alckmar","Alkmaar","1584","1584","52.6333333","4.75","NH","1",,"http://vocab.getty.edu/tgn/7007057"
"91","Alcmaer","Alkmaar","1537","1595","52.6333333","4.75","NH","15",,"http://vocab.getty.edu/tgn/7007057"
"92","Alcmair","Alkmaar","1537","1537","52.6333333","4.75","NH","3",,"http://vocab.getty.edu/tgn/7007057"
"93","alkmaar","Alkmaar","1539","1593","52.6333333","4.75","NH","21",,"http://vocab.getty.edu/tgn/7007057"
"94","Allemelo","Almelo","1595","1595","52.35","6.6666667","OV","1",,"http://vocab.getty.edu/tgn/7006939"
"95","Allemeloo","Almelo","1595","1644","52.35","6.6666667","OV","2",,"http://vocab.getty.edu/tgn/7006939"
"96","Almelo","Almelo","1494","1643","52.35","6.6666667","OV","8",,"http://vocab.getty.edu/tgn/7006939"
"97","almen","Almen","1585","1585","52.15","6.3","GE","1",,"http://vocab.getty.edu/tgn/7258718"
"98","almkerck","Almkerk","1600","1600","51.7666667","4.9666667","NB","1",,"http://vocab.getty.edu/tgn/7258712"
"99","alphen in brabant","Alphen Bosschoven","1589","1589","51.4666667","4.95","NB","1",,
"100","alphen onder breda","Alphen","1587","1587","51.4833333","4.95","NB","1",,"http://vocab.getty.edu/tgn/7258711"
"101","Alsmoer","Aalsmeer","1648","1648","52.2666667","4.7666667","NH","1",,"http://vocab.getty.edu/tgn/1047594"
"102","altforst","Altforst","1545","1545","51.85","5.5666667","GE","1",,"http://vocab.getty.edu/tgn/7258820"
"103","Ameland","Ameland","1641","1641","53.45","5.75","FR","1",,
"104","Amelandt","Ameland","1593","1593","53.45","5.75","FR","2",,
"105","Amerfoirt","Amersfoort","1592","1592","52.15","5.3833333","UT","1",,"http://vocab.getty.edu/tgn/7006922"
"106","ameronck","Amerongen","1549","1549","52","5.4666667","UT","1",,"http://vocab.getty.edu/tgn/7006910"
"107","amerongen","Amerongen","1494","1589","52","5.4666667","UT","3",,"http://vocab.getty.edu/tgn/7006910"
"108","amerongen int stift van utrecht","Amerongen","1653","1653","52","5.4666667","UT","1",,"http://vocab.getty.edu/tgn/7006910"
"109","amersfoerdt","Amersfoort","1582","1586","52.15","5.3833333","UT","2",,"http://vocab.getty.edu/tgn/7006922"
"110","amersfoert","Amersfoort","1545","1545","52.15","5.3833333","UT","1",,"http://vocab.getty.edu/tgn/7006922"
"111","amersfoird","Amersfoort","1493","1495","52.15","5.3833333","UT","3",,"http://vocab.getty.edu/tgn/7006922"
"112","amersfoirt","Amersfoort","1486","1486","52.15","5.3833333","UT","1",,"http://vocab.getty.edu/tgn/7006922"
"113","Amersfoort","Amersfoort","1496","1650","52.15","5.3833333","UT","45",,"http://vocab.getty.edu/tgn/7006922"
"114","Amersvoert","Amersfoort","1543","1554","52.15","5.3833333","UT","10",,"http://vocab.getty.edu/tgn/7006922"
"115","Amersvoirt","Amersfoort","1541","1545","52.15","5.3833333","UT","2",,"http://vocab.getty.edu/tgn/7006922"
"116","amersvoord","Amersfoort","1490","1490","52.15","5.3833333","UT","1",,"http://vocab.getty.edu/tgn/7006922"
"117","amertsfort","Amersfoort","1596","1596","52.15","5.3833333","UT","1",,"http://vocab.getty.edu/tgn/7006922"
"118","amerveen","Oud-Annerveen","1588","1588","53.0833333","6.7666667","DR","1",,"http://vocab.getty.edu/tgn/7268910"
"119","amerzoyen","Ammerzoden","1440","1440","51.75","5.2166667","GE","1",,"http://vocab.getty.edu/tgn/4000658"
"120","amesfort","Amersfoort","1549","1549","52.15","5.3833333","UT","1",,"http://vocab.getty.edu/tgn/7006922"
"121","ammers","Groot-Ammers","1589","1589","51.9166667","4.8166667","ZH","1",,"http://vocab.getty.edu/tgn/7260868"
"122","ampt van kolmenschate","Colmschate","1539","1539","52.25","6.2166667","OV","1",,"http://vocab.getty.edu/tgn/7262887"
"123","amstel","Amstelland","1496","1496","52.2333333","4.8833333","UT","1",,
"124","amstelreda","Amsterdam","1590","1590","52.35","4.9166667","NH","1",,"http://vocab.getty.edu/tgn/7006952"
"125","Amstelredam","Amsterdam","1487","1646","52.35","4.9166667","NH","16",,"http://vocab.getty.edu/tgn/7006952"
"126","Amstelredamme","Amsterdam","1641","1648","52.35","4.9166667","NH","5",,"http://vocab.getty.edu/tgn/7006952"
"127","Amsterdam","Amsterdam","1448","1654","52.35","4.9166667","NH","279",,"http://vocab.getty.edu/tgn/7006952"
"128","Amsterdamme","Amsterdam","1644","1644","52.35","4.9166667","NH","1",,"http://vocab.getty.edu/tgn/7006952"
"129","Amsterveen","Amstelveen","1543","1650","52.3","4.8666667","NH","9",,"http://vocab.getty.edu/tgn/1047614"
"130","angeren","Angeren","1583","1583","51.9166667","5.9666667","GE","1",,"http://vocab.getty.edu/tgn/1047617"
"131","angersdyck","Angeren","1548","1548","51.9166667","5.9666667","GE","1",,"http://vocab.getty.edu/tgn/1047617"
"132","anhem","Arnhem","1655","1655","51.9833333","5.9166667","GE","1",,"http://vocab.getty.edu/tgn/7006876"
"133","apeldoorn","Apeldoorn","1488","1647","52.2166667","5.9666667","GE","21",,"http://vocab.getty.edu/tgn/7006898"
"134","apeldorn","Apeldoorn","1492","1594","52.2166667","5.9666667","GE","10",,"http://vocab.getty.edu/tgn/7006898"
"135","apelteern","Apeldoorn","1548","1553","52.2166667","5.9666667","GE","2",,"http://vocab.getty.edu/tgn/7006898"
"136","apelthoorn","Apeldoorn","1651","1651","52.2166667","5.9666667","GE","1",,"http://vocab.getty.edu/tgn/7006898"
"137","apeltorn","Apeldoorn","1446","1446","52.2166667","5.9666667","GE","1",,"http://vocab.getty.edu/tgn/7006898"
"138","appeldoorn","Apeldoorn","1636","1636","52.2166667","5.9666667","GE","1",,"http://vocab.getty.edu/tgn/7006898"
"139","appelloo","Aperloo","1589","1589","52.4333333","5.8666667","GE","1",,"http://vocab.getty.edu/tgn/7256530"
"140","Appels in Friesland","Appelscha","1644","1644","52.95","6.3666667","FR","1",,"http://vocab.getty.edu/tgn/7256527"
"141","Appingerdam","Appingedam","1647","1647","53.3166667","6.8666667","GR","1",,"http://vocab.getty.edu/tgn/1047619"
"142","arckel","Arkel","1653","1654","51.8666667","5","ZH","2",,"http://vocab.getty.edu/tgn/7256631"
"143","arckens","Arkens","1648","1648","53.2","5.55","FR","1",,"http://vocab.getty.edu/tgn/7256628"
"144","arcrum","Akkrum","1647","1647","53.05","5.8333333","FR","1",,"http://vocab.getty.edu/tgn/1047604"
"145","ardenburch","Aardenburg","1583","1583","51.2833333","3.45","ZE","1",,"http://vocab.getty.edu/tgn/1047597"
"146","ardenburch in vlaenderen","Aardenburg","1592","1592","51.2833333","3.45","ZE","1",,"http://vocab.getty.edu/tgn/1047597"
"147","arhem","Arnhem","1539","1539","51.9833333","5.9166667","GE","1",,"http://vocab.getty.edu/tgn/7006876"
"148","armel","Ermelo","1499","1499","52.3","5.6166667","GE","1",,"http://vocab.getty.edu/tgn/1047771"
"149","Armuyde","Arnemuiden","1650","1650","51.5","3.6666667","ZE","1",,"http://vocab.getty.edu/tgn/7006756"
"150","armuyden","Arnemuiden","1544","1586","51.5","3.6666667","ZE","4",,"http://vocab.getty.edu/tgn/7006756"
"151","arnemuiden","Arnemuiden","1582","1582","51.5","3.6666667","ZE","1",,"http://vocab.getty.edu/tgn/7006756"
"152","arnemuyden","Arnemuiden","1636","1636","51.5","3.6666667","ZE","1",,"http://vocab.getty.edu/tgn/7006756"
"153","arnhem","Arnhem","1388","1653","51.9833333","5.9166667","GE","74",,"http://vocab.getty.edu/tgn/7006876"
"154","arnmuyden","Arnemuiden","1584","1584","51.5","3.6666667","ZE","1",,"http://vocab.getty.edu/tgn/7006756"
"155","arssen","Arcen","1547","1547","51.4833333","6.1833333","LI","2",,"http://vocab.getty.edu/tgn/1047620"
"156","Arum","Arum","1539","1654","53.1333333","5.4833333","FR","10",,"http://vocab.getty.edu/tgn/7256893"
"157","aspere","Asperen","1586","1586","51.8833333","5.1166667","ZH","1",,"http://vocab.getty.edu/tgn/7024729"
"158","asperen","Asperen","1449","1593","51.8833333","5.1166667","ZH","2",,"http://vocab.getty.edu/tgn/7024729"
"159","Assendelft","Assendelft","1589","1651","52.4666667","4.75","NH","3",,"http://vocab.getty.edu/tgn/1047624"
"160","asten","Asten","1600","1600","51.4","5.75","NB","1",,"http://vocab.getty.edu/tgn/1047625"
"161","atten","Etten","1636","1636","51.5666667","4.6666667","NB","1",,"http://vocab.getty.edu/tgn/7006824"
"162","avenhorn","Avenhorn","1589","1595","52.6166667","4.95","NH","3",,"http://vocab.getty.edu/tgn/7257126"
"163","axcele","Axel","1588","1588","51.2666667","3.9166667","ZE","1",,"http://vocab.getty.edu/tgn/7006749"
"164","axele","Axel","1584","1584","51.2666667","3.9166667","ZE","1",,"http://vocab.getty.edu/tgn/7006749"
"165","Baaren","Baarn","1641","1641","52.2166667","5.2833333","UT","1",,"http://vocab.getty.edu/tgn/1047629"
"166","baarn","Baarn","1584","1599","52.2166667","5.2833333","UT","4",,"http://vocab.getty.edu/tgn/1047629"
"167","backum","Bakkum","1542","1649","52.5666667","4.6666667","NH","3",,"http://vocab.getty.edu/tgn/7257612"
"168","baecq","Baak","1582","1582","52.0833333","6.2333333","GE","1",,"http://vocab.getty.edu/tgn/7257106"
"169","baedt","Bath","1642","1642","51.4","4.2166667","ZE","1",,"http://vocab.getty.edu/tgn/7257983"
"170","baerdwijck","Baardwijk","1600","1600","51.7","5.1","NB","1",,"http://vocab.getty.edu/tgn/7257216"
"171","baerlant","Baarland","1639","1639","51.4166667","3.8833333","ZE","1",,"http://vocab.getty.edu/tgn/7257215"
"172","baerne","Baarn","1503","1503","52.2166667","5.2833333","UT","1",,"http://vocab.getty.edu/tgn/1047629"
"173","baerne land van overijssel","Baars","1591","1591","52.8166667","6.0833333","OV","1",,"http://vocab.getty.edu/tgn/7257477"
"174","baersdorp","Baars","1541","1645","52.8166667","6.0833333","OV","2",,"http://vocab.getty.edu/tgn/7257477"
"175","bair","Baar","1496","1496","51.9833333","6.05","GE","1",,"http://vocab.getty.edu/tgn/7257450"
"176","bairle en alfen","Gemeente Baarle-Nassau","1538","1538","51.4333333","4.9166667","NB","1",,
"177","bajum","Baijum","1650","1650","53.1666667","5.6333333","FR","1",,"http://vocab.getty.edu/tgn/7257449"
"178","balck","Balk","1588","1653","52.9","5.5833333","FR","3",,"http://vocab.getty.edu/tgn/1047632"
"179","balck in vrieslandt","Balk","1588","1588","52.9","5.5833333","FR","1",,"http://vocab.getty.edu/tgn/1047632"
"180","Balcken","Balk","1592","1592","52.9","5.5833333","FR","1",,"http://vocab.getty.edu/tgn/1047632"
"181","balk","Balk","1594","1594","52.9","5.5833333","FR","1",,"http://vocab.getty.edu/tgn/1047632"
"182","ballegoey","Balgoy","1544","1544","51.7833333","5.7166667","GE","1","http://sws.geonames.org/2759480",
"183","balligij","Balgoy","1547","1547","51.7833333","5.7166667","GE","1","http://sws.geonames.org/2759480",
"184","barchelo","Borculo","1541","1541","52.1166667","6.5166667","GE","1",,"http://vocab.getty.edu/tgn/1047666"
"185","barckeloo","Borculo","1590","1590","52.1166667","6.5166667","GE","1",,"http://vocab.getty.edu/tgn/1047666"
"186","barendrecht","Barendrecht","1594","1594","51.85","4.55","ZH","1",,"http://vocab.getty.edu/tgn/1047634"
"187","bargen opt zoom","Bergen op Zoom","1554","1554","51.5","4.3","NB","1","http://sws.geonames.org/2759145",
"188","barneffelt","Barneveld","1545","1545","52.1333333","5.5833333","GE","2",,"http://vocab.getty.edu/tgn/1047635"
"189","barneveld","Barneveld","1581","1600","52.1333333","5.5833333","GE","57",,"http://vocab.getty.edu/tgn/1047635"
"190","barnevelde","Barneveld","1442","1442","52.1333333","5.5833333","GE","1",,"http://vocab.getty.edu/tgn/1047635"
"191","barneveldt","Barneveld","1586","1586","52.1333333","5.5833333","GE","1",,"http://vocab.getty.edu/tgn/1047635"
"192","barnevelt","Barneveld","1547","1639","52.1333333","5.5833333","GE","7",,"http://vocab.getty.edu/tgn/1047635"
"193","Barninckhorn","Barsingerhorn","1547","1547","52.7833333","4.85","NH","2",,"http://vocab.getty.edu/tgn/7257869"
"194","Barningerhorm","Barsingerhorn","1595","1595","52.7833333","4.85","NH","1",,"http://vocab.getty.edu/tgn/7257869"
"195","barrevelt van leyden","Leiden","1592","1592","52.15","4.5","ZH","1",,"http://vocab.getty.edu/tgn/7006809"
"196","barsingerhorn","Barsingerhorn","1538","1593","52.7833333","4.85","NH","11",,"http://vocab.getty.edu/tgn/7257869"
"197","batenborch","Batenburg","1387","1544","51.8166667","5.6333333","GE","3",,"http://vocab.getty.edu/tgn/4001271"
"198","batenborg","Batenburg","1542","1542","51.8166667","5.6333333","GE","1",,"http://vocab.getty.edu/tgn/4001271"
"199","batenburch","Batenburg","1639","1639","51.8166667","5.6333333","GE","1",,"http://vocab.getty.edu/tgn/4001271"
"200","bathman","Bathmen","1584","1594","52.25","6.2833333","OV","2",,"http://vocab.getty.edu/tgn/7257981"
"201","bathmen","Bathmen","1581","1649","52.25","6.2833333","OV","9",,"http://vocab.getty.edu/tgn/7257981"
"202","batman","Bathmen","1538","1544","52.25","6.2833333","OV","4",,"http://vocab.getty.edu/tgn/7257981"
"203","batmen","Bathmen","1498","1501","52.25","6.2833333","OV","4",,"http://vocab.getty.edu/tgn/7257981"
"204","battman","Bathmen","1581","1581","52.25","6.2833333","OV","1",,"http://vocab.getty.edu/tgn/7257981"
"205","bavel","Bavel","1550","1638","51.5666667","4.8333333","NB","5",,"http://vocab.getty.edu/tgn/7258060"
"206","beckbegen","Beekbergen","1496","1496","52.15","5.9666667","GE","1",,"http://vocab.getty.edu/tgn/4001335"
"207","beckbergen","Beekbergen","1503","1503","52.15","5.9666667","GE","1",,"http://vocab.getty.edu/tgn/4001335"
"208","beekberghen","Beekbergen","1495","1495","52.15","5.9666667","GE","1",,"http://vocab.getty.edu/tgn/4001335"
"209","beemster","Beemster","1637","1637","52.5666667","4.9333333","NH","1",,
"210","beern in groningerland","Bierum","1637","1637","53.3833333","6.8666667","GR","1",,"http://vocab.getty.edu/tgn/7256430"
"211","beest","Beesd","1549","1647","51.8833333","5.2","GE","2",,"http://vocab.getty.edu/tgn/7258319"
"212","begbergen","Beekbergen","1590","1590","52.15","5.9666667","GE","1",,"http://vocab.getty.edu/tgn/4001335"
"213","bekeercke","Biggekerke","1581","1581","51.5","3.5166667","ZE","1",,"http://vocab.getty.edu/tgn/7256595"
"214","bekercke","Biggekerke","1600","1642","51.5","3.5166667","ZE","2",,"http://vocab.getty.edu/tgn/7256595"
"215","belcum","Berlikum","1637","1637","53.25","5.65","FR","1",,"http://vocab.getty.edu/tgn/1047653"
"216","belrem/besrem","Beltrum","1495","1495","52.0666667","6.5666667","GE","1",,"http://vocab.getty.edu/tgn/7258615"
"217","bemmel","Nederland","1538","1642","52.5","5.75","NL","2",,
"218","bemmell","Nederland","1501","1501","52.5","5.75","NL","1",,
"219","bennebroek","Bennebroek","1587","1591","52.3166667","4.6","NH","2",,"http://vocab.getty.edu/tgn/7258788"
"220","bennecum","Bennekom","1655","1655","52","5.6833333","GE","1",,"http://vocab.getty.edu/tgn/1047644"
"221","bennick/benneck","Bunnik","1496","1496","52.0666667","5.2","UT","1",,"http://vocab.getty.edu/tgn/1047688"
"222","benschop","Benschop","1583","1654","52","4.9833333","UT","24",,"http://vocab.getty.edu/tgn/7258775"
"223","berchambacht","Bergambacht","1641","1642","51.9333333","4.7833333","ZH","2",,"http://vocab.getty.edu/tgn/1047645"
"224","bercheyck","Bergeyk","1597","1597","51.3166667","5.3666667","NB","1",,"http://vocab.getty.edu/tgn/1047646"
"225","berchoudt","Berkhout","1591","1591","52.6333333","5","NH","1",,"http://vocab.getty.edu/tgn/7256168"
"226","Berckelo","Borculo","1587","1593","52.1166667","6.5166667","GE","2",,"http://vocab.getty.edu/tgn/1047666"
"227","Berckeloo","Borculo","1592","1643","52.1166667","6.5166667","GE","4",,"http://vocab.getty.edu/tgn/1047666"
"228","Berckhoudt","Berkhout","1588","1588","52.6333333","5","NH","1",,"http://vocab.getty.edu/tgn/7256168"
"229","berckum","Berkum","1644","1644","52.5166667","6.1333333","OV","1",,"http://vocab.getty.edu/tgn/7256162"
"230","bergambacht","Bergambacht","1583","1587","51.9333333","4.7833333","ZH","2",,"http://vocab.getty.edu/tgn/1047645"
"231","bergeijck","Bergeijk","1586","1587","51.3166667","5.3666667","NB","2",,"http://vocab.getty.edu/tgn/1047646"
"232","bergeijk","Bergeijk","1543","1549","51.3166667","5.3666667","NB","4",,"http://vocab.getty.edu/tgn/1047646"
"233","Bergen op 't Soom","Bergen op Zoom","1589","1589","51.5","4.3","NB","1","http://sws.geonames.org/2759145",
"234","Bergen op den Zoem","Bergen op Zoom","1555","1555","51.5","4.3","NB","1","http://sws.geonames.org/2759145",
"235","Bergen op den Zoom","Bergen op Zoom","1643","1643","51.5","4.3","NB","1","http://sws.geonames.org/2759145",
