"id","geb_plaats_bron","geb_plaats_huidig","eerste_jaar","laatste_jaar","lat","lon","adm1","aantal","gn_uri","tgn_uri"
"811","friesland","Provincie Friesland","1539","1650","53.1666667","5.8333333","FR","11",,
"812","fynaer","Fijnaart","1581","1581","51.6333333","4.4666667","NB","1",,"http://vocab.getty.edu/tgn/1047775"
"813","gaesterlandt","Gaasterland","1641","1641","52.8666667","5.45","FR","1",,
"814","gapinge","Gapinge","1543","1649","51.55","3.6166667","ZE","3",,"http://vocab.getty.edu/tgn/7261596"
"815","gapingh","Gapinge","1648","1648","51.55","3.6166667","ZE","1",,"http://vocab.getty.edu/tgn/7261596"
"816","gapinghe","Gapinge","1641","1641","51.55","3.6166667","ZE","1",,"http://vocab.getty.edu/tgn/7261596"
"817","gapynge","Gapinge","1652","1652","51.55","3.6166667","ZE","1",,"http://vocab.getty.edu/tgn/7261596"
"818","garder","Garderen","1585","1585","52.2333333","5.7166667","GE","1",,"http://vocab.getty.edu/tgn/7261592"
"819","garderbroeck","Garderbroek","1584","1584","52.1666667","5.6666667","GE","1",,"http://vocab.getty.edu/tgn/7261594"
"820","garwen","Gerwen","1551","1551","51.4833333","5.5666667","NB","1",,"http://vocab.getty.edu/tgn/7262329"
"821","gassel","Gassel","1583","1583","51.7333333","5.7833333","NB","1",,"http://vocab.getty.edu/tgn/7261706"
"822","gastel","Gastel","1539","1649","51.2833333","5.55","NB","3",,"http://vocab.getty.edu/tgn/7261697"
"823","gau","Gauw","1649","1649","53.0666667","5.7166667","FR","1",,"http://vocab.getty.edu/tgn/7261690"
"824","gauw","Gauw","1593","1637","53.0666667","5.7166667","FR","2",,"http://vocab.getty.edu/tgn/7261690"
"825","gauwe","Gouda","1489","1491","52.0166667","4.7","ZH","7",,"http://vocab.getty.edu/tgn/7006805"
"826","gauwe in holland","Gouda","1491","1491","52.0166667","4.7","ZH","1",,"http://vocab.getty.edu/tgn/7006805"
"827","Geelmuyden","Genemuiden","1554","1593","52.6333333","6.05","OV","3",,"http://vocab.getty.edu/tgn/1047786"
"828","geertruiden bergh","Geertruidenberg","1591","1591","51.7","4.8666667","NB","1",,"http://vocab.getty.edu/tgn/7261873"
"829","geertruidenberch","Geertruidenberg","1637","1637","51.7","4.8666667","NB","1",,"http://vocab.getty.edu/tgn/7261873"
"830","geertruidenberg","Geertruidenberg","1593","1594","51.7","4.8666667","NB","2",,"http://vocab.getty.edu/tgn/7261873"
"831","geertruydenberch","Geertruidenberg","1589","1641","51.7","4.8666667","NB","9",,"http://vocab.getty.edu/tgn/7261873"
"832","geertruydenberg","Geertruidenberg","1548","1548","51.7","4.8666667","NB","1",,"http://vocab.getty.edu/tgn/7261873"
"833","geertruydenberge","Geertruidenberg","1586","1600","51.7","4.8666667","NB","5",,"http://vocab.getty.edu/tgn/7261873"
"834","geertruydenbergen","Geertruidenberg","1589","1654","51.7","4.8666667","NB","3",,"http://vocab.getty.edu/tgn/7261873"
"835","geertruydenbergh","Geertruidenberg","1593","1654","51.7","4.8666667","NB","7",,"http://vocab.getty.edu/tgn/7261873"
"836","geertruydenberghe","Geertruidenberg","1651","1651","51.7","4.8666667","NB","1",,"http://vocab.getty.edu/tgn/7261873"
"837","geervliet","Geervliet","1538","1592","51.8666667","4.2666667","ZH","2",,"http://vocab.getty.edu/tgn/7261870"
"838","geest in gelderland","Geesteren","1594","1594","52.1333333","6.5333333","GE","1",,"http://vocab.getty.edu/tgn/7261858"
"839","geesteren","Nederland","1555","1555","52.5","5.75","NL","1",,
"840","geistere","Geisteren","1598","1598","51.55","6.05","LI","1",,"http://vocab.getty.edu/tgn/7262311"
"841","geisteren","Geisteren","1548","1548","51.55","6.05","LI","1",,"http://vocab.getty.edu/tgn/7262311"
"842","gelderland","Provincie Gelderland","1600","1600","52","5.8333333","GE","1",,
"843","Gelderlandt","Provincie Gelderland","1588","1588","52","5.8333333","GE","1",,
"844","Gelderlant","Provincie Gelderland","1541","1595","52","5.8333333","GE","3",,
"845","geldorp","Geldrop","1593","1643","51.4333333","5.5666667","NB","2",,"http://vocab.getty.edu/tgn/1047781"
"846","geldrop","Geldrop","1544","1643","51.4333333","5.5666667","NB","6",,"http://vocab.getty.edu/tgn/1047781"
"847","geleijen int lant van gulick","Geleen","1655","1655","50.9666667","5.8333333","LI","1",,"http://vocab.getty.edu/tgn/1047782"
"848","gelichum","Gellicum","1649","1649","51.8833333","5.15","GE","1",,"http://vocab.getty.edu/tgn/7262031"
"849","Gelzelaer","Gelselaar","1542","1542","52.1666667","6.5333333","GE","1",,"http://vocab.getty.edu/tgn/7262029"
"850","gemert","Gemert","1492","1645","51.55","5.7","NB","5",,"http://vocab.getty.edu/tgn/1047783"
"851","gendere land van heusden","Genderen","1644","1644","51.7333333","5.1166667","NB","1",,"http://vocab.getty.edu/tgn/7262149"
"852","gendringhem","Gendringen","1641","1641","51.8666667","6.3833333","GE","1",,"http://vocab.getty.edu/tgn/1047784"
"853","Gendringhen","Gendringen","1649","1649","51.8666667","6.3833333","GE","1",,"http://vocab.getty.edu/tgn/1047784"
"854","gentum","Goutum","1596","1596","53.1833333","5.8","FR","1",,"http://vocab.getty.edu/tgn/7260342"
"855","genum","Genum","1649","1649","53.3166667","5.8833333","FR","1",,"http://vocab.getty.edu/tgn/4004298"
"856","gerwerden","Heerewaarden","1490","1490","51.8166667","5.4","GE","1",,"http://vocab.getty.edu/tgn/7266123"
"857","gesseler","Gelselaar","1654","1654","52.1666667","6.5333333","GE","1",,"http://vocab.getty.edu/tgn/7262029"
"858","geyn","Gein","1583","1583","52.3","5.0166667","0","1",,
"859","geyscher van oene","Oene","1542","1542","52.35","6.05","GE","1",,"http://vocab.getty.edu/tgn/7270468"
"860","geysteren","Geisteren","1544","1544","51.55","6.05","LI","1",,"http://vocab.getty.edu/tgn/7262311"
"861","gheesteren","Nederland","1497","1497","52.5","5.75","NL","1",,
"862","ghemert","Gemert","1554","1554","51.55","5.7","NB","1",,"http://vocab.getty.edu/tgn/1047783"
"863","ghenemuyden","Genemuiden","1543","1543","52.6333333","6.05","OV","1",,"http://vocab.getty.edu/tgn/1047786"
"864","ghennep int lant van cleven","Gennep","1536","1536","51.7","5.9666667","LI","1",,"http://vocab.getty.edu/tgn/1047787"
"865","ghijsen oukerke","Giessen Oudkerk","1585","1585","51.85","4.8666667","ZH","1",,"http://vocab.getty.edu/tgn/7262294"
"866","ghilse","Gilze","1544","1554","51.55","4.95","NB","5",,"http://vocab.getty.edu/tgn/1047790"
"867","ghinneken","Ginneken","1544","1589","51.5666667","4.7833333","NB","5","http://sws.geonames.org/2755498",
"868","ghoerle","Goirle","1536","1536","51.5166667","5.0666667","NB","1",,"http://vocab.getty.edu/tgn/1047793"
"869","ghysel","Gijzel","1538","1538","51.6333333","5.2166667","NB","1",,"http://vocab.getty.edu/tgn/7263383"
"870","giessendam","Giessendam","1591","1591","51.8333333","4.8333333","ZH","1",,"http://vocab.getty.edu/tgn/7262296"
"871","giesteren","Nederland","1654","1654","52.5","5.75","NL","1",,
