"id","kloeke_nieuw","kloeke_uri","naam","kloeke_oud","sameConceptAs","ligt_in_uri","lat","lon"
"1","A001a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A001a","Baaiduinen","A 001a","http://sws.geonames.org/2759583","http://vocab.getty.edu/tgn/7003616","53.3840561809","5.23846157617"
"2","A001b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A001b","Landerum","A 001b","http://sws.geonames.org/2751989","http://vocab.getty.edu/tgn/7003616","53.3934405689","5.27543667524"
"3","A001p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A001p","Midsland","A 001","http://sws.geonames.org/2750835","http://vocab.getty.edu/tgn/7003616","53.3931478118","5.30202793906"
"4","A001q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A001q","Lies","A 001x","http://sws.geonames.org/2751631","http://vocab.getty.edu/tgn/7003616","53.3972056427","5.31036311617"
"5","A001z","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A001z","Formerum","A 001z","http://sws.geonames.org/2755863","http://vocab.getty.edu/tgn/7003616","53.3953257818","5.29471801589"
"6","A002p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A002p","West-Terschelling","A 002","http://sws.geonames.org/2744608","http://vocab.getty.edu/tgn/7003616","53.360949242","5.20156171894"
"7","A003p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A003p","Oostvlieland","A 003","http://sws.geonames.org/2749334","http://vocab.getty.edu/tgn/7003616","53.2985858887","5.03437195856"
"8","A004p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A004p","De Koog","A 004","http://sws.geonames.org/2757417","http://vocab.getty.edu/tgn/7006951","53.0977284986","4.75282877456"
"9","A005p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A005p","De Cocksdorp","A 005","http://sws.geonames.org/2757710","http://vocab.getty.edu/tgn/7006951","53.1558877405","4.86083833267"
"10","A006a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A006a","Harkebuurt","A 006a","http://sws.geonames.org/2754822","http://vocab.getty.edu/tgn/7006951","53.0922917673","4.85021999822"
"11","A006p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A006p","Oosterend","A 006","http://sws.geonames.org/2749475","http://vocab.getty.edu/tgn/7006951","53.0892333575","4.86372134072"
"12","A007p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A007p","Den Hoorn","A 007","http://sws.geonames.org/2757213","http://vocab.getty.edu/tgn/7006951","53.0272717283","4.74352734381"
"13","A008p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A008p","Den Burg","A 008","http://sws.geonames.org/2757244","http://vocab.getty.edu/tgn/7006951","53.0480694627","4.78923862898"
"14","A008q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A008q","Zuidhaffel","A 008x","http://sws.geonames.org/2743708","http://vocab.getty.edu/tgn/7006951","53.039375228","4.79556044307"
"15","A009p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A009p","De Waal","A 009","http://sws.geonames.org/2756962","http://vocab.getty.edu/tgn/7006951","53.0734125794","4.81165910104"
"16","A009z","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A009z","Spang","A 009z","http://sws.geonames.org/2746977","http://vocab.getty.edu/tgn/7006951","53.0707565589","4.84325003735"
"17","A010p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A010p","Oudeschild","A 010","http://sws.geonames.org/2749009","http://vocab.getty.edu/tgn/7006951","53.0373812565","4.83332107197"
"18","A010q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=A010q","Westergeest","A 010x","http://sws.geonames.org/2744745","http://vocab.getty.edu/tgn/7006951","53.0341257493","4.80441234044"
"19","B001a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B001a","Hollum","B 001a","http://sws.geonames.org/2753887","http://vocab.getty.edu/tgn/7003616","53.4458842925","5.63277921353"
"20","B001p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B001p","Ballum","B 001","http://sws.geonames.org/2759456","http://vocab.getty.edu/tgn/7003616","53.4482642841","5.68498878036"
"21","B002p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B002p","Nes","B 002","http://sws.geonames.org/2750417","http://vocab.getty.edu/tgn/7003616","53.4539190704","5.77532954773"
"22","B003p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B003p","Buren","B 003","http://sws.geonames.org/2758096","http://vocab.getty.edu/tgn/7003616","53.4507430935","5.79565071011"
"23","B004p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B004p","Schiermonnikoog","B 004","http://sws.geonames.org/2747591","http://vocab.getty.edu/tgn/7003616","53.483169592","6.16732976368"
"24","B005p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B005p","Hoorn","B 005","http://sws.geonames.org/2753636","http://vocab.getty.edu/tgn/7003616","53.4050065934","5.33015097858"
"25","B006p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B006p","Oosterend","B 006","http://sws.geonames.org/2749473","http://vocab.getty.edu/tgn/7003616","53.4118748949","5.37447366361"
"26","B007p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B007p","Ferwerd","B 007","http://sws.geonames.org/2755920","http://vocab.getty.edu/tgn/7003616","53.3456923774","5.81547950795"
"27","B008p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B008p","Blija","B 008","http://sws.geonames.org/2758820","http://vocab.getty.edu/tgn/7003616","53.3592509113","5.85415507343"
"28","B008q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B008q","Hogebeintum","B 008x","http://sws.geonames.org/2753954","http://vocab.getty.edu/tgn/7003616","53.3434233239","5.8388791064"
"29","B009p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B009p","Holwerd","B 009","http://sws.geonames.org/2753852","http://vocab.getty.edu/tgn/7003616","53.3759036724","5.89549091819"
"30","B010p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B010p","Ternaard","B 010","http://sws.geonames.org/2746424","http://vocab.getty.edu/tgn/7003616","53.3896184309","5.96446237311"
"31","B011a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B011a","Foudgum","B 011a","http://sws.geonames.org/2755857","http://vocab.getty.edu/tgn/7003616","53.3514160145","5.9389465379"
"32","B011p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B011p","Hantum","B 011","http://sws.geonames.org/2754878","http://vocab.getty.edu/tgn/7003616","53.3655662503","5.97714881989"
"33","B011q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B011q","Brantgum","B 011x","http://sws.geonames.org/2758402","http://vocab.getty.edu/tgn/7003616","53.3589503945","5.92602101286"
"34","B012p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B012p","Hantumhuizen","B 012","http://sws.geonames.org/2754874","http://vocab.getty.edu/tgn/7003616","53.3782568383","5.99452824049"
"35","B013a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B013a","Oosternijkerk","B 013a","http://sws.geonames.org/2749427","http://vocab.getty.edu/tgn/7003616","53.3835255506","6.05817288072"
"36","B013b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B013b","Anjum","B 013b","http://sws.geonames.org/2759757","http://vocab.getty.edu/tgn/7003616","53.3781327504","6.12739160273"
"37","B013c","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B013c","Niawier","B 013c","http://sws.geonames.org/2750399","http://vocab.getty.edu/tgn/7003616","53.368944104","6.04648266345"
"38","B013d","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B013d","Lioessens","B 013d","http://sws.geonames.org/2751554","http://vocab.getty.edu/tgn/7003616","53.3858083396","6.09417359044"
"39","B013e","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B013e","Morra","B 013e","http://sws.geonames.org/2750603","http://vocab.getty.edu/tgn/7003616","53.3758478209","6.09192130799"
"40","B013p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B013p","Metslawier","B 013","http://sws.geonames.org/2750919","http://vocab.getty.edu/tgn/7003616","53.3632568985","6.0609813041"
"41","B013q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B013q","Wetzens","B 013x","http://sws.geonames.org/2744588","http://vocab.getty.edu/tgn/7003616","53.3512862193","6.02850697581"
"42","B014a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B014a","Wierum","B 014a","http://sws.geonames.org/2744526","http://vocab.getty.edu/tgn/7003616","53.4042607223","6.02565857954"
"43","B014g","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B014g","Moddergat","B 014z","http://sws.geonames.org/2750779","http://vocab.getty.edu/tgn/7003616","53.4009527856","6.06053468264"
"44","B014p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B014p","Paesens","B 014","http://sws.geonames.org/2748770","http://vocab.getty.edu/tgn/7003616","53.402318926","6.09339266161"
"45","B014z","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B014z","Nes","B 014az","http://sws.geonames.org/2750418","http://vocab.getty.edu/tgn/7003616","53.4058417","6.07781278017"
"46","B015p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B015p","Vierhuizen","B 015","http://sws.geonames.org/2745553","http://vocab.getty.edu/tgn/7003613","53.3690914756","6.30852680036"
"47","B016p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B016p","Ulrum","B 016","http://sws.geonames.org/2745944","http://vocab.getty.edu/tgn/7003613","53.3657057483","6.34284125389"
"48","B017p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B017p","Zoutkamp","B 017","http://sws.geonames.org/2743816","http://vocab.getty.edu/tgn/7003613","53.3430088","6.29756352393"
"49","B017q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B017q","Niekerk","B 017x","http://sws.geonames.org/2750389","http://vocab.getty.edu/tgn/7003613","53.342673923","6.34076859164"
"50","B018a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B018a","Oude Bildtdijk","B 018a","http://sws.geonames.org/2749158","http://vocab.getty.edu/tgn/7003616","53.2975798987","5.64390236223"
"51","B018p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B018p","Sint Jacobiparochie","B 018","http://sws.geonames.org/2747270","http://vocab.getty.edu/tgn/7003616","53.2765006064","5.59231355611"
"52","B019b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B019b","Hennaard","B 019b",,"http://vocab.getty.edu/tgn/7003616","53.2985143618","5.64390792708"
"53","B019p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B019p","Sint Annaparochie","B 019","http://sws.geonames.org/2747297","http://vocab.getty.edu/tgn/7003616","53.2810739961","5.64380411315"
"54","B019z","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B019z","Nieuwe Bildtdijk","B 019z","http://sws.geonames.org/2750351","http://vocab.getty.edu/tgn/7003616","53.3100322811","5.64865730548"
"55","B020p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B020p","Oude Bildtzijl","B 020","http://sws.geonames.org/2749155","http://vocab.getty.edu/tgn/7003616","53.3045865368","5.71156668659"
"56","B021p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B021p","Vrouwenparochie","B 021","http://sws.geonames.org/2745163","http://vocab.getty.edu/tgn/7003616","53.2853135048","5.69425372183"
"57","B022a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B022a","Marrum","B 022a","http://sws.geonames.org/2751129","http://vocab.getty.edu/tgn/7003616","53.3252017921","5.79602073003"
"58","B022p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B022p","Wester-Nijkerk","B 022","http://sws.geonames.org/2744704","http://vocab.getty.edu/tgn/7003616","53.333941798","5.78882341434"
"59","B023p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B023p","Hallum","B 023","http://sws.geonames.org/2754930","http://vocab.getty.edu/tgn/7003616","53.3118673144","5.77717026056"
"60","B024a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B024a","Britsum","B 024a","http://sws.geonames.org/2758309","http://vocab.getty.edu/tgn/7003616","53.2610730285","5.77982825523"
"61","B024b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B024b","Tichelwurk","B 024b","http://sws.geonames.org/2746332","http://vocab.getty.edu/tgn/7003616","53.2677855856","5.82146569107"
"62","B024p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B024p","Stiens","B 024","http://sws.geonames.org/2746705","http://vocab.getty.edu/tgn/7003616","53.268336493","5.75026298867"
"63","B025p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B025p","Wijns","B 025","http://sws.geonames.org/2744458","http://vocab.getty.edu/tgn/7003616","53.2568657639","5.82706478541"
"64","B026a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B026a","Wanswerd","B 026a","http://sws.geonames.org/2745042","http://vocab.getty.edu/tgn/7003616","53.3060281147","5.84316759947"
"65","B026p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B026p","Reitsum","B 026","http://sws.geonames.org/2748250","http://vocab.getty.edu/tgn/7003616","53.3279814393","5.88347361523"
"66","B027p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B027p","Birdaard","B 027","http://sws.geonames.org/2758895","http://vocab.getty.edu/tgn/7003616","53.2990458279","5.87534115623"
"67","B028a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B028a","Oenkerk","B 028a","http://sws.geonames.org/2749708","http://vocab.getty.edu/tgn/7003616","53.2578654116","5.88839147943"
"68","B028p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B028p","Oudkerk","B 028","http://sws.geonames.org/2748941","http://vocab.getty.edu/tgn/7003616","53.27160257","5.88231547777"
"69","B029a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B029a","Akkerwoude","B 029a","http://sws.geonames.org/2759924","http://vocab.getty.edu/tgn/7003616","53.2983043965","5.97103882303"
"70","B029b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B029b","De Broek onder Akkerwoude","B 029b",,"http://vocab.getty.edu/tgn/7003616","53.2808188071","5.98015755209"
"71","B029c","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B029c","Molenend","B 029c",,"http://vocab.getty.edu/tgn/7003616","53.2580777426","5.91229438205"
"72","B029p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B029p","Rinsumageest","B 029","http://sws.geonames.org/2748051","http://vocab.getty.edu/tgn/7003616","53.3145765578","5.95616490983"
"73","B029q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B029q","Roodkerk","B 029x","http://sws.geonames.org/2747948","http://vocab.getty.edu/tgn/7003616","53.2632744284","5.9357364279"
"74","B030a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B030a","Raard","B 030a","http://sws.geonames.org/2748357","http://vocab.getty.edu/tgn/7003616","53.3289683181","5.94334191198"
"75","B030p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B030p","Dokkum","B 030","http://sws.geonames.org/2756759","http://vocab.getty.edu/tgn/7003616","53.3333988626","5.99337028725"
"76","B031a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B031a","Zwaagwesteinde","B 031a","http://sws.geonames.org/2743590","http://vocab.getty.edu/tgn/7003616","53.2618650817","6.03134424901"
"77","B031p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B031p","Murmerwoude","B 031",,"http://vocab.getty.edu/tgn/7003616","53.2988435561","5.98923973059"
"78","B032a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B032a","Damwoude","B 032a","http://sws.geonames.org/2757833","http://vocab.getty.edu/tgn/7003616","53.2962235147","6.01312490914"
"79","B032b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B032b","Wouterswoude","B 032b","http://sws.geonames.org/2744147","http://vocab.getty.edu/tgn/7003616","53.3079748199","6.03047291229"
"80","B032p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B032p","Driesum","B 032","http://sws.geonames.org/2756577","http://vocab.getty.edu/tgn/7003616","53.3006889613","6.05167860337"
"81","B033a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B033a","Engwierum","B 033a","http://sws.geonames.org/2756081","http://vocab.getty.edu/tgn/7003616","53.3247271801","6.14832574347"
"82","B033b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B033b","Oostrum","B 033b","http://sws.geonames.org/2749343","http://vocab.getty.edu/tgn/7003616","53.3351482609","6.07408203188"
"83","B033p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B033p","Ee","B 033","http://sws.geonames.org/2756422","http://vocab.getty.edu/tgn/7003616","53.3334055506","6.10476680534"
"84","B034a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B034a","Kollumerzwaag","B 034a","http://sws.geonames.org/2752520","http://vocab.getty.edu/tgn/7003616","53.2656453402","6.07868595466"
"85","B034b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B034b","Westergeest","B 034b","http://sws.geonames.org/2744744","http://vocab.getty.edu/tgn/7003616","53.2979506268","6.09532751563"
"86","B034p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B034p","Oudwoude","B 034","http://sws.geonames.org/2748886","http://vocab.getty.edu/tgn/7003616","53.2843792385","6.12422307987"
"87","B035a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B035a","Zwagerveen","B 035a","http://sws.geonames.org/2743583","http://vocab.getty.edu/tgn/7003616","53.2658659594","6.09480108937"
"88","B035p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B035p","Kollum","B 035","http://sws.geonames.org/2752524","http://vocab.getty.edu/tgn/7003616","53.2860225614","6.16013328023"
"89","B036p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B036p","Buitenpost","B 036","http://sws.geonames.org/2758131","http://vocab.getty.edu/tgn/7003616","53.256470206","6.15284623415"
"90","B037a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B037a","De Kollumerpomp","B 037a","http://sws.geonames.org/2752522","http://vocab.getty.edu/tgn/7003616","53.3050220819","6.20832800406"
"91","B037p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B037p","Burum","B 037","http://sws.geonames.org/2758073","http://vocab.getty.edu/tgn/7003616","53.2752429394","6.2342653832"
"92","B038p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B038p","Munnekezijl","B 038","http://sws.geonames.org/2750553","http://vocab.getty.edu/tgn/7003616","53.3044946919","6.2821839335"
"93","B039a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B039a","Middenwaard","B 039a",,"http://vocab.getty.edu/tgn/7003613","53.2886993919","6.31045320318"
"94","B039p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B039p","Pieterzijl","B 039","http://sws.geonames.org/2748596","http://vocab.getty.edu/tgn/7003613","53.2842632257","6.2791551918"
"95","B040a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B040a","Ruigezand","B 040a","http://sws.geonames.org/2747843","http://vocab.getty.edu/tgn/7003613","53.3127862306","6.33749658546"
"96","B040p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B040p","Kommerzijl","B 040","http://sws.geonames.org/2752510","http://vocab.getty.edu/tgn/7003613","53.2909985553","6.33598174754"
"97","B041p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B041p","Visvliet","B 041","http://sws.geonames.org/2745471","http://vocab.getty.edu/tgn/7003613","53.2638024893","6.26573855579"
"98","B042p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B042p","Grijpskerk","B 042","http://sws.geonames.org/2755317","http://vocab.getty.edu/tgn/7003613","53.2625447244","6.30885970125"
"99","B042q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B042q","Hoekje","B 042x","http://sws.geonames.org/2754017","http://vocab.getty.edu/tgn/7003613","53.2944008741","6.29809707668"
"100","B043p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B043p","Sexbierum","B 043","http://sws.geonames.org/2747380","http://vocab.getty.edu/tgn/7003616","53.2473553653","5.48152808257"
"101","B043q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B043q","Pietersbierum","B 043x","http://sws.geonames.org/2748598","http://vocab.getty.edu/tgn/7003616","53.2152804376","5.46433287469"
"102","B044a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B044a","Herbaijum","B 044a","http://sws.geonames.org/2754366","http://vocab.getty.edu/tgn/7003616","53.188154085","5.48709860862"
"103","B044p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B044p","Wijnaldum","B 044","http://sws.geonames.org/2744472","http://vocab.getty.edu/tgn/7003616","53.1975222123","5.45391657785"
"104","B045p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B045p","Harlingen","B 045","http://sws.geonames.org/2754817","http://vocab.getty.edu/tgn/7003616","53.1741760449","5.40980728806"
"105","B045z","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B045z","Midlum","B 045z","http://sws.geonames.org/2750837","http://vocab.getty.edu/tgn/7003616","53.1847604189","5.44040389106"
"106","B046a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B046a","Minnertsga","B 046a","http://sws.geonames.org/2750790","http://vocab.getty.edu/tgn/7003616","53.2534631847","5.58077220582"
"107","B046b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B046b","Oosterbierum","B 046b","http://sws.geonames.org/2749500","http://vocab.getty.edu/tgn/7003616","53.2358083775","5.50279958718"
"108","B046p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B046p","Tzummarum","B 046","http://sws.geonames.org/2746023","http://vocab.getty.edu/tgn/7003616","53.2357658437","5.54070527753"
"109","B047a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B047a","Boer","B 047a","http://sws.geonames.org/2758747","http://vocab.getty.edu/tgn/7003616","53.2151748859","5.56398450242"
"110","B047g","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B047g","Dongjum","B 047az","http://sws.geonames.org/2756719","http://vocab.getty.edu/tgn/7003616","53.2170747054","5.54167178807"
"111","B047p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B047p","Peins","B 047","http://sws.geonames.org/2748674","http://vocab.getty.edu/tgn/7003616","53.2088952228","5.59146875295"
"112","B048a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B048a","Hitzum","B 048a","http://sws.geonames.org/2754044","http://vocab.getty.edu/tgn/7003616","53.16538424","5.51555995664"
"113","B048b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B048b","Schalsum","B 048b","http://sws.geonames.org/2747698","http://vocab.getty.edu/tgn/7003616","53.199903048","5.56755833856"
"114","B048p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B048p","Franeker","B 048","http://sws.geonames.org/2755845","http://vocab.getty.edu/tgn/7003616","53.1899659431","5.54106624645"
"115","B048z","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B048z","Arkens","B 048z","http://sws.geonames.org/2759670","http://vocab.getty.edu/tgn/7003616","53.2005517853","5.54732913593"
"116","B049p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B049p","Berlikum","B 049","http://sws.geonames.org/2759057","http://vocab.getty.edu/tgn/7003616","53.2449470916","5.63786707514"
"117","B050p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B050p","Menaldum","B 050","http://sws.geonames.org/2750965","http://vocab.getty.edu/tgn/7003616","53.2174920412","5.6564057376"
"118","B051p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B051p","Dronrijp","B 051","http://sws.geonames.org/2756561","http://vocab.getty.edu/tgn/7003616","53.1985238618","5.63967784653"
"119","B051q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B051q","Welsrijp","B 051x","http://sws.geonames.org/2744848","http://vocab.getty.edu/tgn/7003616","53.1774073362","5.60792169885"
"120","B052a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B052a","Beetgum","B 052a","http://sws.geonames.org/2759283","http://vocab.getty.edu/tgn/7003616","53.244521968","5.68617415877"
"121","B052p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B052p","Marssum","B 052","http://sws.geonames.org/2751122","http://vocab.getty.edu/tgn/7003616","53.2151367167","5.72438272586"
"122","B053a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B053a","Boksum","B 053a","http://sws.geonames.org/2758458","http://vocab.getty.edu/tgn/7003616","53.1774484738","5.72201004205"
"123","B053p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B053p","Deinum","B 053","http://sws.geonames.org/2757475","http://vocab.getty.edu/tgn/7003616","53.1949040766","5.72008033822"
"124","B053q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B053q","Blessum","B 053x","http://sws.geonames.org/2758821","http://vocab.getty.edu/tgn/7003616","53.184361913","5.70080693497"
"125","B054p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B054p","Cornjum","B 054","http://sws.geonames.org/2757909","http://vocab.getty.edu/tgn/7003616","53.2501688114","5.78128719769"
"126","B055a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B055a","Lekkum","B 055a","http://sws.geonames.org/2751741","http://vocab.getty.edu/tgn/7003616","53.2226186481","5.82048771291"
"127","B055p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B055p","Jelsum","B 055","http://sws.geonames.org/2753256","http://vocab.getty.edu/tgn/7003616","53.235862588","5.77336874673"
"128","B056p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B056p","Leeuwarden","B 056","http://sws.geonames.org/2751792","http://vocab.getty.edu/tgn/7003616","53.2076875033","5.81463561934"
"129","B057a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B057a","Goutum","B 057a","http://sws.geonames.org/2755399","http://vocab.getty.edu/tgn/7003616","53.1753262189","5.80290463424"
"130","B057b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B057b","Hempens","B 057b","http://sws.geonames.org/2754419","http://vocab.getty.edu/tgn/7003616","53.1891715244","5.76256918756"
"131","B057p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B057p","Huizum","B 057","http://sws.geonames.org/2753470","http://vocab.getty.edu/tgn/7003616","53.1915015958","5.81031638258"
"132","B058a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B058a","Rijperkerk","B 058a","http://sws.geonames.org/2748099","http://vocab.getty.edu/tgn/7003616","53.2266003677","5.91450229417"
"133","B058b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B058b","Giekerk","B 058b","http://sws.geonames.org/2755542","http://vocab.getty.edu/tgn/7003616","53.2451782926","5.86850046336"
"134","B058p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B058p","Tietjerk","B 058","http://sws.geonames.org/2746311","http://vocab.getty.edu/tgn/7003616","53.2072263762","5.92879896337"
"135","B059p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B059p","Hardegarijp","B 059","http://sws.geonames.org/2754864","http://vocab.getty.edu/tgn/7003616","53.2224377227","5.94093745914"
"136","B060a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B060a","Noord Bergum","B 060a","http://sws.geonames.org/2749992","http://vocab.getty.edu/tgn/7003616","53.2294180131","5.97892795154"
