"id","kloeke_nieuw","kloeke_uri","naam","kloeke_oud","sameConceptAs","ligt_in_uri","lat","lon"
"2445","K153p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K153p","Oud Gastel","K 153","http://sws.geonames.org/2748956","http://vocab.getty.edu/tgn/7003624","51.5873016447","4.46132852586"
"2446","K153z","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K153z","Stampersgat","K 153z","http://sws.geonames.org/2746846","http://vocab.getty.edu/tgn/7003624","51.60768472","4.43837681043"
"2447","K154p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K154p","Klundert","K 154","http://sws.geonames.org/6251994","http://vocab.getty.edu/tgn/7003624","51.6616967918","4.53248132909"
"2448","K155p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K155p","Zevenbergen","K 155","http://sws.geonames.org/2743947","http://vocab.getty.edu/tgn/7003624","51.6472855996","4.6109082532"
"2449","K156a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K156a","Noordhoek","K 156a","http://sws.geonames.org/2749883","http://vocab.getty.edu/tgn/7003624","51.642067619","4.53285166534"
"2450","K156p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K156p","Standdaarbuiten","K 156","http://sws.geonames.org/2746845","http://vocab.getty.edu/tgn/7003624","51.6132503197","4.51235808429"
"2451","K157a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K157a","Leur","K 157a",,"http://vocab.getty.edu/tgn/7003624","51.5905313067","4.65292087959"
"2452","K157p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K157p","Oudenbosch","K 157","http://sws.geonames.org/2749053","http://vocab.getty.edu/tgn/7003624","51.5887222032","4.52485162365"
"2453","K158a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K158a","Wagenberg","K 158a","http://sws.geonames.org/2745091","http://vocab.getty.edu/tgn/7003624","51.6621613848","4.75248697557"
"2454","K158b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K158b","Den Hout","K 158b","http://sws.geonames.org/2757211","http://vocab.getty.edu/tgn/7003624","51.6578275173","4.81870962896"
"2455","K158c","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K158c","Prinsenbeek","K 158c","http://sws.geonames.org/2748448","http://vocab.getty.edu/tgn/7003624","51.6027788532","4.72128754027"
"2456","K158p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K158p","Terheijden","K 158","http://sws.geonames.org/2746456","http://vocab.getty.edu/tgn/7003624","51.6441331931","4.75976118268"
"2457","K159p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K159p","Teteringen","K 159","http://sws.geonames.org/2746389","http://vocab.getty.edu/tgn/7003624","51.6132803783","4.82076968655"
"2458","K160p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K160p","Breda","K 160","http://sws.geonames.org/2758401","http://vocab.getty.edu/tgn/7003624","51.5918984701","4.78350127153"
