"id","kloeke_nieuw","kloeke_uri","altname"
"64","B052a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B052a","Bitgum"
"65","B052p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B052p","Marsum"
"66","B054p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B054p","Koarnjum"
"67","B056p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B056p","Ljouwert"
"68","B057b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B057b","Himpens"
"69","B057p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B057p","Huzum"
"70","B058a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B058a","Ryptsjerk"
"71","B058b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B058b","Gytsjerk"
"72","B058p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B058p","Tytsjerk"
"73","B059p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B059p","Hurdegaryp"
"74","B060b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B060b","Veenwoudsterwald"
"75","B060p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B060p","Feanwalden"
"76","B061a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B061a","Garyp"
"77","B061p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B061p","Suwald"
"78","B062p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B062p","Burgum"
"79","B063p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B063p","Sumar"
"80","B064a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B064a","Droegeham"
"81","B064b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B064b","Koatstertille"
"82","B064p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B064p","Jistrum"
"83","B065a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B065a","Skulenboarch"
"84","B065b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B065b","It Heechsan"
"85","B065p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B065p","Oastermar"
"86","B066p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B066p","Twizel"
"87","B066q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B066q","Twizelerheide"
"88","B067a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B067a","De Harkema"
"89","B067p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B067p","Stynsgea"
"90","B068p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B068p","Surhusterfean"
"91","B068q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B068q","Blauhus"
"92","B069b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B069b","Gerkeskleaster"
"93","B069p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B069p","Surhuzum"
"94","B076a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B076a","Kimswert"
"95","B078p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B078p","Penjum"
"96","B079p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B079p","Surch"
"97","B080a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B080a","Wuns"
"98","B080p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B080p","Wytmarsum"
"99","B081p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B081p","Tsjom"
"100","B081q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B081q","Lollum"
"101","B083a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B083a","Kubaerd"
"102","B083b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B083b","Easterlittens"
"103","B083p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B083p","Baerd"
"104","B084a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B084a","Lytsewierrum"
"105","B084c","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B084c","Easterein"
"106","B084d","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B084d","Burchwert"
"107","B085a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B085a","Hilaard"
"108","B085b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B085b","Wytgaerd"
"109","B085q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B085q","Bears"
"110","B086p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B086p","Wurdum"
"111","B087z","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B087z","Skillaerd"
"112","B088p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B088p","Easterwierrum"
"113","B089a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B089a","Britswert"
"114","B089p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B089p","Wiuwert"
"115","B090a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B090a","Yndyk"
"116","B090p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B090p","Boazum"
"117","B091p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B091p","Dearsum"
"118","B092b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B092b","Idaerd"
"119","B092g","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B092g","Roardhuzum"
"120","B092p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B092p","Raerd"
"121","B093a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B093a","Warten"
"122","B093p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B093p","Wergea"
"123","B094p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B094p","Grou"
"124","B095p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B095p","Earnewald"
"125","B096a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B096a","Goaiingahuzen"
"126","B096p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B096p","Aldegea"
"127","B096q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B096q","De Feanhoop"
"128","B097p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B097p","Nijegea"
"129","B097q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B097q","De Sumardertike"
"130","B098a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B098a","It Wytfean"
"131","B098p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B098p","De Rottefalle"
"132","B099a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B099a","De Pein"
"133","B099b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B099b","Drachtster Kompenije"
"134","B099c","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B099c","Folgeren"
"135","B099d","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=B099d","De Wylgen"
